,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
120990,191.0,191.0,191.0,189.0,20200,VOKS,2020-07-01,,,,,
128411,192.0,191.0,192.0,189.0,28300,VOKS,2020-07-02,,,,,
102085,191.0,191.0,191.0,190.0,36000,VOKS,2020-07-03,,,,,
84779,195.0,191.0,196.0,190.0,53100,VOKS,2020-07-06,,,,,
34513,192.0,192.0,202.0,191.0,1100100,VOKS,2020-07-07,,,,,
47690,192.0,194.0,199.0,192.0,71200,VOKS,2020-07-08,,,,,
114417,197.0,200.0,204.0,197.0,250900,VOKS,2020-07-09,,,,,
23808,198.0,200.0,200.0,198.0,41900,VOKS,2020-07-10,,,,,193.75
15572,200.0,204.0,204.0,200.0,94000,VOKS,2020-07-13,,,,,196.02777777777777
32050,206.0,204.0,206.0,199.0,45300,VOKS,2020-07-14,,,,195.8,197.79938271604937
89719,202.0,200.0,202.0,199.0,58400,VOKS,2020-07-15,,,,196.7,198.2884087791495
22163,206.0,200.0,206.0,200.0,1300,VOKS,2020-07-16,,,,197.6,198.66876238378296
104525,202.0,204.0,204.0,199.0,944400,VOKS,2020-07-17,,,,198.9,199.85348185405343
78195,210.0,200.0,210.0,199.0,78500,VOKS,2020-07-20,,,,199.8,199.88604144204155
102898,200.0,202.0,204.0,200.0,66600,VOKS,2020-07-21,,,,200.8,200.35581001047674
93841,206.0,200.0,208.0,200.0,162900,VOKS,2020-07-22,,,,201.4,200.2767411192597
8983,200.0,208.0,208.0,200.0,182400,VOKS,2020-07-23,,,,202.2,201.99302087053533
101276,208.0,200.0,210.0,200.0,777300,VOKS,2020-07-24,,,,202.2,201.5501273437497
55106,206.0,200.0,206.0,199.0,114600,VOKS,2020-07-27,,,,201.8,201.2056546006942
41931,200.0,196.0,202.0,193.0,16900,VOKS,2020-07-28,,,,201.0,200.0488424672066
111129,200.0,194.0,200.0,194.0,21600,VOKS,2020-07-29,,,,200.4,198.7046552522718
80649,200.0,198.0,200.0,189.0,193900,VOKS,2020-07-30,,,,200.2,198.5480651962114
117715,198.0,198.0,198.0,191.0,68600,VOKS,2020-08-03,,,,199.6,198.42627293038666
7346,190.0,196.0,196.0,189.0,37000,VOKS,2020-08-04,,,,199.2,197.88710116807852
53462,196.0,198.0,198.0,192.0,54100,VOKS,2020-08-05,,,,198.8,197.9121897973944
69953,198.0,200.0,200.0,195.0,15200,VOKS,2020-08-06,,,,198.8,198.37614762019564
43569,196.0,197.0,198.0,186.0,252200,VOKS,2020-08-07,,,,197.7,198.07033703792993
98800,194.0,192.0,197.0,192.0,62700,VOKS,2020-08-10,,,,196.9,196.7213732517233
52649,198.0,198.0,200.0,196.0,19900,VOKS,2020-08-11,,,,196.7,197.0055125291181
120181,198.0,197.0,198.0,190.0,111800,VOKS,2020-08-12,,,197.86666666666667,196.8,197.00428752264742
62530,189.0,199.0,199.0,189.0,43500,VOKS,2020-08-13,,,198.13333333333333,197.3,197.44777918428133
87267,195.0,197.0,199.0,194.0,89800,VOKS,2020-08-14,,,198.33333333333334,197.2,197.34827269888547
60886,197.0,197.0,197.0,195.0,53700,VOKS,2020-08-18,,,198.53333333333333,197.1,197.2708787657998
88908,197.0,195.0,197.0,193.0,41200,VOKS,2020-08-19,,,198.66666666666666,197.0,196.76623904006652
10634,195.0,195.0,195.0,194.0,40900,VOKS,2020-08-24,,,198.76666666666668,196.7,196.3737414756073
129227,192.0,196.0,197.0,192.0,48500,VOKS,2020-08-25,,,198.83333333333334,196.3,196.29068781436123
103714,195.0,196.0,197.0,195.0,32300,VOKS,2020-08-26,,,198.7,196.2,196.22609052228097
4055,196.0,195.0,196.0,195.0,22200,VOKS,2020-08-27,,,198.53333333333333,196.5,195.9536259617741
79011,198.0,195.0,198.0,193.0,85600,VOKS,2020-08-28,,,198.23333333333332,196.2,195.74170908137984
27935,194.0,193.0,197.0,192.0,216800,VOKS,2020-08-31,,,197.86666666666667,195.8,195.13244039662877
35330,193.0,195.0,195.0,193.0,91300,VOKS,2020-09-01,,,197.7,195.4,195.10300919737793
39468,195.0,192.0,197.0,192.0,277300,VOKS,2020-09-02,,,197.43333333333334,194.9,194.4134515979606
68303,193.0,193.0,195.0,193.0,33000,VOKS,2020-09-03,,,197.06666666666666,194.5,194.09935124285823
13111,193.0,194.0,195.0,192.0,58300,VOKS,2020-09-04,,,196.86666666666667,194.4,194.07727318888973
27118,194.0,196.0,196.0,194.0,300,VOKS,2020-09-07,,,196.66666666666666,194.5,194.5045458135809
107831,196.0,196.0,196.0,193.0,22500,VOKS,2020-09-08,,,196.53333333333333,194.5,194.8368689661185
121812,196.0,191.0,196.0,191.0,82400,VOKS,2020-09-09,,,195.96666666666667,194.0,193.98423141809215
8170,190.0,190.0,192.0,188.0,57100,VOKS,2020-09-10,,,195.63333333333333,193.5,193.09884665851612
18047,188.0,192.0,192.0,188.0,9500,VOKS,2020-09-11,,,195.36666666666667,193.2,192.8546585121792
44395,192.0,195.0,197.0,191.0,12700,VOKS,2020-09-14,,,195.33333333333334,193.4,193.33140106502827
65836,195.0,192.0,195.0,192.0,120000,VOKS,2020-09-15,,,195.26666666666668,193.1,193.03553416168864
1584,190.0,190.0,190.0,190.0,8600,VOKS,2020-09-16,,,195.0,192.9,192.36097101464674
55934,190.0,190.0,190.0,190.0,8400,VOKS,2020-09-17,,,194.73333333333332,192.6,191.8363107891697
61714,195.0,192.0,195.0,191.0,16200,VOKS,2020-09-18,,,194.6,192.4,191.8726861693542
71606,192.0,194.0,194.0,192.0,17000,VOKS,2020-09-21,,,194.46666666666667,192.2,192.3454225761644
99628,194.0,194.0,197.0,193.0,19800,VOKS,2020-09-22,,,194.26666666666668,192.0,192.71310644812786
76558,193.0,197.0,197.0,193.0,500,VOKS,2020-09-23,,,194.26666666666668,192.6,193.665749459655
65008,197.0,192.0,197.0,187.0,43600,VOKS,2020-09-24,,,194.26666666666668,192.8,193.295582913065
96328,196.0,190.0,196.0,190.0,13300,VOKS,2020-09-25,,,194.0,192.6,192.56323115460611
59244,190.0,190.0,190.0,189.0,5263300,VOKS,2020-09-28,,,193.76666666666668,192.1,191.99362423136031
16398,190.0,194.0,194.0,189.0,61500,VOKS,2020-09-29,,,193.6,192.3,192.43948551328023
83969,194.0,192.0,194.0,190.0,16300,VOKS,2020-09-30,,,193.43333333333334,192.5,192.34182206588463
91369,192.0,193.0,193.0,192.0,10800,VOKS,2020-10-01,,,193.3,192.8,192.48808382902138
67486,195.0,194.0,195.0,194.0,400,VOKS,2020-10-02,,,193.26666666666668,193.0,192.82406520034996
12294,190.0,192.0,192.0,190.0,5800,VOKS,2020-10-05,,,193.16666666666666,192.8,192.6409396002722
119365,192.0,193.0,196.0,192.0,13000,VOKS,2020-10-06,,,193.06666666666666,192.7,192.7207308002117
21352,195.0,195.0,198.0,195.0,40500,VOKS,2020-10-07,,,193.03333333333333,192.5,193.22723506683133
19696,195.0,196.0,196.0,195.0,1000,VOKS,2020-10-08,,,193.06666666666666,192.9,193.84340505197991
109491,196.0,196.0,196.0,196.0,0,VOKS,2020-10-09,,,193.1,193.5,194.32264837376215
28760,194.0,194.0,194.0,194.0,2600,VOKS,2020-10-12,,,193.13333333333333,193.9,194.25094873514834
75731,194.0,199.0,199.0,193.0,67700,VOKS,2020-10-13,,,193.26666666666668,194.4,195.30629346067093
106180,199.0,198.0,199.0,198.0,30500,VOKS,2020-10-14,,,193.46666666666667,195.0,195.90489491385517
14761,198.0,197.0,198.0,197.0,15600,VOKS,2020-10-15,,,193.6,195.4,196.14825159966514
5709,197.0,197.0,197.0,197.0,14600,VOKS,2020-10-16,,,193.7,195.7,196.33752902196179
756,197.0,197.0,198.0,197.0,33400,VOKS,2020-10-19,,,193.73333333333332,196.2,196.48474479485915
124296,197.0,196.0,197.0,191.0,42000,VOKS,2020-10-20,,,193.73333333333332,196.5,196.3770237293349
74081,198.0,197.0,198.0,195.0,1700,VOKS,2020-10-21,,,193.93333333333334,196.7,196.5154629005938
30415,198.0,197.0,199.0,197.0,24100,VOKS,2020-10-22,,,194.16666666666666,196.8,196.62313781157295
32875,198.0,195.0,198.0,195.0,26900,VOKS,2020-10-23,,,194.26666666666668,196.7,196.26244052011228
56759,195.0,195.0,195.0,194.0,20300,VOKS,2020-10-26,,,194.26666666666668,196.8,195.98189818230955
51833,199.0,199.0,199.0,199.0,5800,VOKS,2020-10-27,,,194.5,196.8,196.65258747512965
