,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
124327,125.0,117.0,125.0,117.0,300,VRNA,2020-07-01,,,,,
131748,114.0,109.0,114.0,109.0,2700,VRNA,2020-07-02,,,,,
105422,102.0,102.0,108.0,102.0,15600,VRNA,2020-07-03,,,,,
87282,98.0,131.0,135.0,96.0,36200,VRNA,2020-07-06,,,,,
34514,131.0,122.0,131.0,122.0,300,VRNA,2020-07-07,,,,,
49359,131.0,114.0,131.0,114.0,7700,VRNA,2020-07-08,,,,,
117754,116.0,118.0,118.0,116.0,1000,VRNA,2020-07-09,,,,,
23809,118.0,118.0,118.0,118.0,0,VRNA,2020-07-10,,,,,116.375
15573,110.0,111.0,116.0,110.0,3300,VRNA,2020-07-13,,,,,115.18055555555556
32051,105.0,105.0,106.0,105.0,23800,VRNA,2020-07-14,,,,114.7,112.91820987654322
93056,105.0,99.0,110.0,99.0,25600,VRNA,2020-07-15,,,,112.9,109.8252743484225
22164,100.0,100.0,100.0,100.0,100,VRNA,2020-07-16,,,,112.0,107.64188004877305
107862,94.0,105.0,110.0,94.0,3100,VRNA,2020-07-17,,,,112.3,107.05479559349014
80698,100.0,101.0,101.0,100.0,700,VRNA,2020-07-20,,,,109.3,105.70928546160344
106235,100.0,101.0,101.0,100.0,3700,VRNA,2020-07-21,,,,107.2,104.66277758124713
97178,101.0,120.0,120.0,100.0,8300,VRNA,2020-07-22,,,,107.8,108.07104922985887
8984,130.0,112.0,130.0,112.0,300,VRNA,2020-07-23,,,,107.2,108.94414940100134
104613,122.0,112.0,122.0,105.0,8000,VRNA,2020-07-24,,,,106.6,109.62322731188993
57609,122.0,115.0,122.0,115.0,2600,VRNA,2020-07-27,,,,107.0,110.81806568702551
41932,125.0,110.0,125.0,108.0,4900,VRNA,2020-07-28,,,,107.5,110.63627331213095
114466,103.0,104.0,104.0,103.0,2600,VRNA,2020-07-29,,,,108.0,109.16154590943519
83152,103.0,118.0,118.0,103.0,3800,VRNA,2020-07-30,,,,109.8,111.1256468184496
121052,125.0,111.0,125.0,111.0,3500,VRNA,2020-08-03,,,,110.4,111.09772530323858
7347,121.0,111.0,121.0,111.0,300,VRNA,2020-08-04,,,,111.4,111.07600856918556
55965,121.0,105.0,121.0,105.0,5100,VRNA,2020-08-05,,,,111.8,109.72578444269988
72456,115.0,115.0,115.0,115.0,100,VRNA,2020-08-06,,,,111.3,110.89783234432213
44404,115.0,107.0,115.0,107.0,1000,VRNA,2020-08-07,,,,110.8,110.03164737891721
102137,114.0,100.0,114.0,100.0,5900,VRNA,2020-08-10,,,,109.6,107.8023924058245
55152,113.0,108.0,113.0,105.0,4100,VRNA,2020-08-11,,,,108.9,107.84630520453017
