,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
772,1535.0,1535.0,1570.0,1505.0,21858000,WIKA,2021-04-01,,,,,
1612,1540.0,1430.0,1545.0,1430.0,42677900,WIKA,2021-04-05,,,,,
2452,1400.0,1475.0,1480.0,1345.0,85323900,WIKA,2021-04-06,,,,,
3294,1480.0,1460.0,1485.0,1400.0,39624800,WIKA,2021-04-07,,,,,
4136,1465.0,1480.0,1490.0,1435.0,21063500,WIKA,2021-04-08,,,,,
4979,1485.0,1470.0,1530.0,1465.0,28178500,WIKA,2021-04-09,,,,,
5823,1480.0,1370.0,1485.0,1370.0,26677600,WIKA,2021-04-12,,,,,
6667,1380.0,1370.0,1420.0,1335.0,31917200,WIKA,2021-04-13,,,,,1448.75
7512,1385.0,1430.0,1455.0,1385.0,18132400,WIKA,2021-04-14,,,,,1444.5833333333333
8357,1430.0,1405.0,1460.0,1400.0,10779900,WIKA,2021-04-15,,,,1442.5,1435.787037037037
9201,1410.0,1390.0,1425.0,1390.0,12352400,WIKA,2021-04-16,,,,1428.0,1425.6121399176955
10045,1390.0,1405.0,1445.0,1370.0,68592000,WIKA,2021-04-19,,,,1425.5,1421.03166438043
10889,1405.0,1405.0,1410.0,1370.0,25907500,WIKA,2021-04-20,,,,1418.5,1417.4690722958899
11733,1395.0,1425.0,1430.0,1380.0,19080300,WIKA,2021-04-21,,,,1415.0,1419.1426117856922
12577,1440.0,1405.0,1440.0,1395.0,12858400,WIKA,2021-04-22,,,,1407.5,1415.9998091666496
13421,1405.0,1410.0,1415.0,1395.0,8890100,WIKA,2021-04-23,,,,1401.5,1414.6665182407276
14264,1415.0,1435.0,1460.0,1415.0,28937300,WIKA,2021-04-26,,,,1408.0,1419.185069742788
15107,1435.0,1440.0,1445.0,1405.0,13345300,WIKA,2021-04-27,,,,1415.0,1423.8106097999462
15951,1440.0,1440.0,1455.0,1425.0,7730300,WIKA,2021-04-28,,,,1416.0,1427.4082520666248
16795,1450.0,1460.0,1480.0,1435.0,17558000,WIKA,2021-04-29,,,,1421.5,1434.650862718486
17639,1465.0,1440.0,1470.0,1440.0,9140800,WIKA,2021-04-30,,,,1426.5,1435.8395598921559
18482,1450.0,1440.0,1455.0,1415.0,16644200,WIKA,2021-05-03,,,,1430.0,1436.7641021383436
19325,1440.0,1470.0,1485.0,1415.0,17429800,WIKA,2021-05-04,,,,1436.5,1444.1498572187118
20169,1470.0,1445.0,1480.0,1440.0,9925200,WIKA,2021-05-05,,,,1438.5,1444.3387778367758
