,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
126836,91.0,91.0,91.0,87.0,40200,WINS,2020-07-01,,,,,
134257,91.0,91.0,91.0,85.0,36400,WINS,2020-07-02,,,,,
107931,91.0,91.0,91.0,91.0,25200,WINS,2020-07-03,,,,,
89791,85.0,92.0,93.0,85.0,1659200,WINS,2020-07-06,,,,,
34521,92.0,92.0,92.0,92.0,1001500,WINS,2020-07-07,,,,,
51868,90.0,91.0,91.0,90.0,471300,WINS,2020-07-08,,,,,
120263,91.0,91.0,91.0,91.0,1648100,WINS,2020-07-09,,,,,
23816,91.0,93.0,93.0,91.0,500100,WINS,2020-07-10,,,,,91.5
15580,93.0,92.0,93.0,90.0,118500,WINS,2020-07-13,,,,,91.61111111111111
32058,92.0,91.0,92.0,90.0,785700,WINS,2020-07-14,,,,91.5,91.47530864197532
95565,91.0,92.0,92.0,91.0,45100,WINS,2020-07-15,,,,91.6,91.59190672153636
22171,92.0,92.0,93.0,89.0,511200,WINS,2020-07-16,,,,91.7,91.68259411675051
110371,92.0,92.0,92.0,89.0,55800,WINS,2020-07-17,,,,91.8,91.75312875747262
83207,92.0,92.0,92.0,92.0,0,WINS,2020-07-20,,,,91.8,91.80798903358982
108744,94.0,93.0,94.0,92.0,71400,WINS,2020-07-21,,,,91.9,92.07288035945875
99687,93.0,93.0,93.0,93.0,30100,WINS,2020-07-22,,,,92.1,92.2789069462457
8991,92.0,92.0,93.0,92.0,91000,WINS,2020-07-23,,,,92.2,92.21692762485776
107122,92.0,92.0,92.0,89.0,452900,WINS,2020-07-24,,,,92.1,92.16872148600048
60118,92.0,91.0,92.0,89.0,81200,WINS,2020-07-27,,,,92.0,91.9090056002226
43607,92.0,92.0,92.0,92.0,10300,WINS,2020-07-28,,,,92.1,91.92922657795091
116975,91.0,100.0,100.0,91.0,857500,WINS,2020-07-29,,,,92.9,93.72273178285072
85661,100.0,99.0,102.0,97.0,60700,WINS,2020-07-30,,,,93.6,94.89545805332834
123561,95.0,95.0,95.0,93.0,979600,WINS,2020-08-03,,,,93.9,94.91868959703315
7354,95.0,98.0,98.0,95.0,50000,WINS,2020-08-04,,,,94.5,95.6034252421369
58474,93.0,97.0,99.0,92.0,868000,WINS,2020-08-05,,,,94.9,95.9137751883287
74965,96.0,96.0,96.0,96.0,5800,WINS,2020-08-06,,,,95.2,95.93293625758899
46913,92.0,95.0,95.0,92.0,110200,WINS,2020-08-07,,,,95.5,95.72561708923588
104646,90.0,96.0,96.0,90.0,110500,WINS,2020-08-10,,,,95.9,95.78659106940569
57661,96.0,96.0,96.0,90.0,14800,WINS,2020-08-11,,,,96.4,95.83401527620443
126027,96.0,96.0,96.0,96.0,1000,WINS,2020-08-12,,,93.46666666666667,96.8,95.87090077038123
67542,96.0,96.0,96.0,94.0,402400,WINS,2020-08-13,,,93.63333333333334,96.4,95.89958948807428
93113,96.0,97.0,99.0,90.0,120800,WINS,2020-08-14,,,93.83333333333333,96.2,96.14412515739112
65898,105.0,97.0,105.0,97.0,20800,WINS,2020-08-18,,,94.03333333333333,96.4,96.33431956685976
94754,99.0,97.0,99.0,94.0,639100,WINS,2020-08-19,,,94.2,96.3,96.48224855200203
10642,98.0,98.0,98.0,98.0,30900,WINS,2020-08-24,,,94.4,96.4,96.81952665155714
135073,98.0,99.0,105.0,98.0,260400,WINS,2020-08-25,,,94.66666666666667,96.7,97.30407628454444
109560,99.0,100.0,105.0,99.0,270700,WINS,2020-08-26,,,94.96666666666667,97.2,97.90317044353456
4063,103.0,101.0,105.0,99.0,1885700,WINS,2020-08-27,,,95.23333333333333,97.7,98.59135478941577
84023,102.0,100.0,105.0,98.0,232100,WINS,2020-08-28,,,95.5,98.1,98.9043870584345
27943,100.0,100.0,104.0,100.0,128700,WINS,2020-08-31,,,95.8,98.5,99.1478566010046
35338,96.0,99.0,99.0,96.0,101100,WINS,2020-09-01,,,96.03333333333333,98.8,99.11499957855914
39476,97.0,100.0,102.0,97.0,76000,WINS,2020-09-02,,,96.3,99.1,99.31166633887933
73315,100.0,98.0,100.0,97.0,18500,WINS,2020-09-03,,,96.5,99.2,99.02018493023948
13119,98.0,100.0,100.0,96.0,546700,WINS,2020-09-04,,,96.76666666666667,99.5,99.23792161240848
27126,100.0,100.0,100.0,95.0,112600,WINS,2020-09-07,,,97.0,99.7,99.4072723652066
113677,100.0,100.0,100.0,100.0,5000,WINS,2020-09-08,,,97.23333333333333,99.8,99.53898961738291
127658,100.0,99.0,100.0,97.0,290200,WINS,2020-09-09,,,97.46666666666667,99.7,99.41921414685338
8178,98.0,98.0,98.0,98.0,136500,WINS,2020-09-10,,,97.66666666666667,99.4,99.1038332253304
18055,98.0,100.0,100.0,98.0,579900,WINS,2020-09-11,,,97.96666666666667,99.4,99.3029813974792
47739,100.0,100.0,100.0,95.0,2400,WINS,2020-09-14,,,98.23333333333333,99.4,99.4578744202616
70848,103.0,99.0,103.0,99.0,50400,WINS,2020-09-15,,,98.2,99.4,99.35612454909236
1592,99.0,98.0,99.0,93.0,533900,WINS,2020-09-16,,,98.16666666666667,99.2,99.05476353818294
60946,100.0,99.0,100.0,94.0,1500,WINS,2020-09-17,,,98.3,99.3,99.04259386303117
66726,100.0,99.0,100.0,98.0,500,WINS,2020-09-18,,,98.33333333333333,99.2,99.03312856013535
76618,100.0,99.0,100.0,99.0,15300,WINS,2020-09-21,,,98.4,99.1,99.02576665788305
105474,99.0,99.0,99.0,99.0,6300,WINS,2020-09-22,,,98.5,99.0,99.02004073390904
81570,99.0,99.0,100.0,95.0,327400,WINS,2020-09-23,,,98.63333333333334,99.0,99.01558723748481
70020,96.0,95.0,98.0,95.0,85600,WINS,2020-09-24,,,98.6,98.7,98.12323451804374
102174,95.0,96.0,98.0,94.0,9000,WINS,2020-09-25,,,98.6,98.3,97.65140462514513
64256,96.0,96.0,96.0,96.0,800,WINS,2020-09-28,,,98.6,97.9,97.28442581955733
16406,96.0,96.0,96.0,91.0,8400,WINS,2020-09-29,,,98.6,97.6,96.9989978596557
88981,96.0,95.0,96.0,90.0,308200,WINS,2020-09-30,,,98.53333333333333,97.3,96.55477611306554
97215,95.0,95.0,97.0,95.0,186100,WINS,2020-10-01,,,98.46666666666667,96.9,96.20927031016208
