,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
126837,202.0,200.0,202.0,193.0,101800,WOMF,2020-07-01,,,,,
134258,200.0,200.0,204.0,200.0,7100,WOMF,2020-07-02,,,,,
107932,200.0,199.0,202.0,199.0,29900,WOMF,2020-07-03,,,,,
89792,199.0,204.0,208.0,199.0,7900,WOMF,2020-07-06,,,,,
34522,204.0,202.0,208.0,202.0,60600,WOMF,2020-07-07,,,,,
51869,202.0,202.0,204.0,202.0,35300,WOMF,2020-07-08,,,,,
120264,202.0,204.0,208.0,202.0,113700,WOMF,2020-07-09,,,,,
23817,202.0,204.0,208.0,200.0,270300,WOMF,2020-07-10,,,,,201.875
15581,204.0,204.0,204.0,200.0,38800,WOMF,2020-07-13,,,,,202.34722222222223
32059,202.0,204.0,206.0,200.0,58500,WOMF,2020-07-14,,,,202.3,202.71450617283952
95566,204.0,200.0,204.0,200.0,96000,WOMF,2020-07-15,,,,202.3,202.11128257887518
22172,202.0,200.0,204.0,200.0,100900,WOMF,2020-07-16,,,,202.3,201.64210867245848
110372,202.0,202.0,204.0,200.0,134300,WOMF,2020-07-17,,,,202.6,201.72164007857882
83208,202.0,204.0,206.0,202.0,87700,WOMF,2020-07-20,,,,202.6,202.22794228333908
108745,204.0,202.0,204.0,200.0,173600,WOMF,2020-07-21,,,,202.6,202.17728844259705
99688,202.0,204.0,206.0,202.0,279400,WOMF,2020-07-22,,,,202.8,202.58233545535325
8992,206.0,206.0,206.0,204.0,78700,WOMF,2020-07-23,,,,203.0,203.34181646527475
107123,208.0,206.0,208.0,204.0,71700,WOMF,2020-07-24,,,,203.2,203.9325239174359
60119,204.0,256.0,256.0,200.0,7293200,WOMF,2020-07-27,,,,208.4,215.5030741580057
43608,256.0,240.0,260.0,240.0,884700,WOMF,2020-07-28,,,,212.0,220.94683545622664
116976,224.0,224.0,224.0,224.0,201300,WOMF,2020-07-29,,,,214.4,221.62531646595406
85662,210.0,212.0,232.0,210.0,2013600,WOMF,2020-07-30,,,,215.6,219.4863572512976
123562,212.0,208.0,220.0,200.0,1098800,WOMF,2020-08-03,,,,216.2,216.9338334176759
7355,202.0,214.0,216.0,200.0,197800,WOMF,2020-08-04,,,,217.2,216.28187043597015
