,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
777,59.0,60.0,60.0,58.0,3027300,WOWS,2021-04-01,,,,,
1617,60.0,57.0,61.0,57.0,19240000,WOWS,2021-04-05,,,,,
2457,57.0,57.0,59.0,56.0,11749900,WOWS,2021-04-06,,,,,
3299,58.0,59.0,61.0,57.0,20197000,WOWS,2021-04-07,,,,,
4141,60.0,60.0,61.0,59.0,11904200,WOWS,2021-04-08,,,,,
4984,60.0,60.0,61.0,59.0,6419500,WOWS,2021-04-09,,,,,
5828,60.0,59.0,60.0,58.0,7096300,WOWS,2021-04-12,,,,,
6672,59.0,57.0,59.0,56.0,8443700,WOWS,2021-04-13,,,,,58.625
7517,57.0,58.0,59.0,57.0,4515700,WOWS,2021-04-14,,,,,58.486111111111114
8362,58.0,58.0,59.0,57.0,9670500,WOWS,2021-04-15,,,,58.5,58.37808641975309
9206,58.0,57.0,58.0,56.0,9316200,WOWS,2021-04-16,,,,58.2,58.07184499314129
10050,57.0,57.0,58.0,56.0,5083500,WOWS,2021-04-19,,,,58.2,57.83365721688767
10894,58.0,56.0,58.0,56.0,6003300,WOWS,2021-04-20,,,,58.1,57.42617783535708
11738,56.0,56.0,58.0,53.0,10082800,WOWS,2021-04-21,,,,57.8,57.109249427499954
12582,56.0,56.0,57.0,55.0,2750900,WOWS,2021-04-22,,,,57.4,56.862749554722186
13426,56.0,55.0,57.0,55.0,6177900,WOWS,2021-04-23,,,,56.9,56.44880520922837
14269,55.0,54.0,56.0,54.0,5216600,WOWS,2021-04-26,,,,56.4,55.904626273844286
15112,55.0,53.0,59.0,51.0,41968500,WOWS,2021-04-27,,,,56.0,55.25915376854556
15956,54.0,51.0,55.0,50.0,29870600,WOWS,2021-04-28,,,,55.3,54.312675153313215
16800,51.0,54.0,54.0,51.0,17027000,WOWS,2021-04-29,,,,54.9,54.24319178591028
17644,55.0,53.0,55.0,53.0,11155500,WOWS,2021-04-30,,,,54.5,53.966926944596885
18487,54.0,53.0,54.0,52.0,4780500,WOWS,2021-05-03,,,,54.1,53.75205429024202
19330,53.0,52.0,54.0,52.0,13087800,WOWS,2021-05-04,,,,53.7,53.36270889241046
20174,53.0,53.0,53.0,52.0,10139800,WOWS,2021-05-05,,,,53.4,53.28210691631924
21018,54.0,55.0,57.0,53.0,33228900,WOWS,2021-05-06,,,,53.3,53.663860934914965
21862,55.0,55.0,57.0,52.0,42787500,WOWS,2021-05-07,,,,53.3,53.960780727156084
22705,54.0,54.0,57.0,52.0,274668700,WOWS,2021-05-10,,,,53.3,53.9694961211214
23548,55.0,54.0,55.0,51.0,96043600,WOWS,2021-05-11,,,,53.4,53.9762747608722
24389,54.0,53.0,56.0,51.0,91863500,WOWS,2021-05-17,,,,53.6,53.75932481401171
25229,54.0,52.0,54.0,51.0,34360900,WOWS,2021-05-18,,,55.6,53.4,53.36836374423133
26069,52.0,51.0,53.0,51.0,13944200,WOWS,2021-05-19,,,55.3,53.2,52.842060689957705
26998,51.0,51.0,52.0,51.0,16466800,WOWS,2021-05-20,,,55.1,53.0,52.4327138699671
27793,51.0,50.0,52.0,50.0,16496800,WOWS,2021-05-21,,,54.86666666666667,52.8,51.89211078775219
28635,50.0,51.0,52.0,50.0,12901000,WOWS,2021-05-24,,,54.6,52.6,51.69386394602948
29475,52.0,51.0,52.0,50.0,33311300,WOWS,2021-05-25,,,54.3,52.2,51.53967195802293
30268,51.0,50.0,51.0,50.0,27855900,WOWS,2021-05-27,,,53.96666666666667,51.7,51.19752263401784
31110,50.0,50.0,51.0,50.0,16042900,WOWS,2021-05-28,,,53.666666666666664,51.3,50.93140649312498
31952,50.0,50.0,51.0,50.0,11240500,WOWS,2021-05-31,,,53.43333333333333,50.9,50.72442727243054
32794,50.0,50.0,51.0,50.0,7178000,WOWS,2021-06-02,,,53.166666666666664,50.6,50.56344343411264
33635,50.0,50.0,50.0,50.0,4148600,WOWS,2021-06-03,,,52.9,50.4,50.43823378208761
34476,50.0,50.0,50.0,50.0,439700,WOWS,2021-06-04,,,52.666666666666664,50.3,50.34084849717925
35317,50.0,50.0,50.0,50.0,1219600,WOWS,2021-06-07,,,52.43333333333333,50.2,50.26510438669497
36160,50.0,50.0,50.0,50.0,1193600,WOWS,2021-06-08,,,52.233333333333334,50.2,50.20619230076276
37003,50.0,50.0,50.0,50.0,573000,WOWS,2021-06-09,,,52.03333333333333,50.1,50.16037178948215
37850,50.0,50.0,50.0,50.0,970000,WOWS,2021-06-10,,,51.833333333333336,50.0,50.12473361404167
38697,50.0,50.0,50.0,50.0,429500,WOWS,2021-06-11,,,51.666666666666664,50.0,50.09701503314352
39544,50.0,50.0,50.0,50.0,573200,WOWS,2021-06-14,,,51.53333333333333,50.0,50.07545613688941
40391,50.0,50.0,50.0,50.0,531400,WOWS,2021-06-15,,,51.43333333333333,50.0,50.05868810646954
41238,50.0,50.0,50.0,50.0,164600,WOWS,2021-06-16,,,51.4,50.0,50.045646305031866
42085,50.0,50.0,50.0,50.0,381400,WOWS,2021-06-17,,,51.266666666666666,50.0,50.035502681691455
42932,50.0,50.0,50.0,50.0,1670700,WOWS,2021-06-18,,,51.166666666666664,50.0,50.02761319687113
43779,50.0,50.0,50.0,50.0,48200,WOWS,2021-06-21,,,51.06666666666667,50.0,50.021476930899766
44626,50.0,50.0,50.0,50.0,1480600,WOWS,2021-06-22,,,51.0,50.0,50.01670427958871
45473,50.0,50.0,50.0,50.0,1404500,WOWS,2021-06-23,,,50.9,50.0,50.012992217457885
46320,50.0,50.0,50.0,50.0,773900,WOWS,2021-06-24,,,50.733333333333334,50.0,50.0101050580228
47167,50.0,50.0,50.0,50.0,44200,WOWS,2021-06-25,,,50.56666666666667,50.0,50.00785948957329
48015,50.0,50.0,50.0,50.0,33300,WOWS,2021-06-28,,,50.43333333333333,50.0,50.00611293633478
