,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
778,214.0,212.0,216.0,204.0,41673800,WSBP,2021-04-01,,,,,
1618,210.0,198.0,212.0,198.0,173853400,WSBP,2021-04-05,,,,,
2458,198.0,200.0,200.0,185.0,307578800,WSBP,2021-04-06,,,,,
3300,199.0,195.0,199.0,188.0,161424700,WSBP,2021-04-07,,,,,
4142,196.0,199.0,202.0,191.0,91568200,WSBP,2021-04-08,,,,,
4985,200.0,200.0,208.0,197.0,95813600,WSBP,2021-04-09,,,,,
5829,200.0,190.0,200.0,189.0,40993800,WSBP,2021-04-12,,,,,
6673,190.0,188.0,191.0,186.0,35016300,WSBP,2021-04-13,,,,,197.75
7518,188.0,195.0,195.0,188.0,56320500,WSBP,2021-04-14,,,,,197.13888888888889
8363,195.0,198.0,200.0,192.0,61046600,WSBP,2021-04-15,,,,197.5,197.33024691358025
9207,200.0,199.0,202.0,195.0,25942500,WSBP,2021-04-16,,,,196.2,197.70130315500685
10051,200.0,202.0,206.0,197.0,44780800,WSBP,2021-04-19,,,,196.6,198.65656912056087
10895,202.0,199.0,204.0,198.0,25924100,WSBP,2021-04-20,,,,196.5,198.73288709376956
11739,199.0,197.0,199.0,196.0,22403600,WSBP,2021-04-21,,,,196.7,198.34780107293187
12583,199.0,196.0,199.0,196.0,13117800,WSBP,2021-04-22,,,,196.4,197.82606750116923
13427,196.0,197.0,199.0,192.0,32081400,WSBP,2021-04-23,,,,196.1,197.64249694535386
14270,197.0,200.0,202.0,197.0,34356600,WSBP,2021-04-26,,,,197.1,198.166386513053
15113,200.0,204.0,206.0,198.0,54565700,WSBP,2021-04-27,,,,198.7,199.46274506570788
15957,204.0,202.0,206.0,200.0,11526900,WSBP,2021-04-28,,,,199.4,200.02657949555058
16801,204.0,208.0,210.0,202.0,40020600,WSBP,2021-04-29,,,,200.4,201.79845071876156
17645,210.0,202.0,210.0,202.0,10847300,WSBP,2021-04-30,,,,200.7,201.84323944792567
18488,202.0,200.0,204.0,197.0,25921400,WSBP,2021-05-03,,,,200.5,201.43363068171996
19331,200.0,202.0,202.0,196.0,22505800,WSBP,2021-05-04,,,,200.8,201.55949053022664
20175,202.0,199.0,204.0,199.0,16840000,WSBP,2021-05-05,,,,201.0,200.99071485684294
21019,200.0,200.0,202.0,199.0,16957200,WSBP,2021-05-06,,,,201.4,200.77055599976674
21863,200.0,195.0,202.0,195.0,21795400,WSBP,2021-05-07,,,,201.2,199.4882102220408
22706,195.0,196.0,200.0,193.0,31175800,WSBP,2021-05-10,,,,200.8,198.71305239492062
23549,196.0,195.0,196.0,194.0,9394900,WSBP,2021-05-11,,,,199.9,197.8879296404938
24390,195.0,184.0,196.0,184.0,54078400,WSBP,2021-05-17,,,,198.1,194.8017230537174
