,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
791,105.0,105.0,105.0,105.0,0,XCIS,2021-04-01,,,,,
1631,105.0,105.0,105.0,105.0,0,XCIS,2021-04-05,,,,,
2471,105.0,105.0,105.0,105.0,0,XCIS,2021-04-06,,,,,
3313,105.0,105.0,105.0,105.0,0,XCIS,2021-04-07,,,,,
4155,105.0,105.0,105.0,105.0,0,XCIS,2021-04-08,,,,,
4998,105.0,105.0,105.0,105.0,0,XCIS,2021-04-09,,,,,
5842,105.0,105.0,105.0,105.0,0,XCIS,2021-04-12,,,,,
6686,105.0,105.0,105.0,105.0,0,XCIS,2021-04-13,,,,,105.0
7531,105.0,105.0,105.0,105.0,0,XCIS,2021-04-14,,,,,105.0
8376,105.0,105.0,105.0,105.0,0,XCIS,2021-04-15,,,,105.0,105.0
9220,105.0,105.0,105.0,105.0,0,XCIS,2021-04-16,,,,105.0,105.0
10064,105.0,105.0,105.0,105.0,0,XCIS,2021-04-19,,,,105.0,105.0
10908,105.0,105.0,105.0,105.0,0,XCIS,2021-04-20,,,,105.0,105.0
11752,105.0,105.0,105.0,105.0,0,XCIS,2021-04-21,,,,105.0,105.0
12596,105.0,105.0,105.0,105.0,0,XCIS,2021-04-22,,,,105.0,105.0
13440,105.0,105.0,105.0,105.0,0,XCIS,2021-04-23,,,,105.0,105.0
14283,105.0,105.0,105.0,105.0,0,XCIS,2021-04-26,,,,105.0,105.0
15126,105.0,105.0,105.0,105.0,0,XCIS,2021-04-27,,,,105.0,105.0
15970,105.0,105.0,105.0,105.0,0,XCIS,2021-04-28,,,,105.0,105.0
16814,105.0,105.0,105.0,105.0,0,XCIS,2021-04-29,,,,105.0,105.0
17658,105.0,105.0,105.0,105.0,0,XCIS,2021-04-30,,,,105.0,105.0
18501,105.0,105.0,105.0,105.0,0,XCIS,2021-05-03,,,,105.0,105.0
19344,105.0,105.0,105.0,105.0,0,XCIS,2021-05-04,,,,105.0,105.0
20188,105.0,105.0,105.0,105.0,0,XCIS,2021-05-05,,,,105.0,105.0
21032,105.0,105.0,105.0,105.0,0,XCIS,2021-05-06,,,,105.0,105.0
21876,105.0,105.0,105.0,105.0,0,XCIS,2021-05-07,,,,105.0,105.0
22719,105.0,105.0,105.0,105.0,0,XCIS,2021-05-10,,,,105.0,105.0
23562,105.0,105.0,105.0,105.0,0,XCIS,2021-05-11,,,,105.0,105.0
24402,105.0,105.0,105.0,105.0,0,XCIS,2021-05-17,,,,105.0,105.0
25242,105.0,105.0,105.0,105.0,0,XCIS,2021-05-18,,,105.0,105.0,105.0
26082,105.0,105.0,105.0,105.0,0,XCIS,2021-05-19,,,105.0,105.0,105.0
27806,105.0,105.0,105.0,105.0,0,XCIS,2021-05-21,,,105.0,105.0,105.0
28648,105.0,105.0,105.0,105.0,0,XCIS,2021-05-24,,,105.0,105.0,105.0
30281,105.0,105.0,105.0,105.0,0,XCIS,2021-05-27,,,105.0,105.0,105.0
31123,105.0,105.0,105.0,105.0,0,XCIS,2021-05-28,,,105.0,105.0,105.0
31965,105.0,105.0,105.0,105.0,0,XCIS,2021-05-31,,,105.0,105.0,105.0
32807,105.0,105.0,105.0,105.0,0,XCIS,2021-06-02,,,105.0,105.0,105.0
33648,105.0,105.0,105.0,105.0,0,XCIS,2021-06-03,,,105.0,105.0,105.0
34489,105.0,105.0,105.0,105.0,0,XCIS,2021-06-04,,,105.0,105.0,105.0
35330,105.0,105.0,105.0,105.0,0,XCIS,2021-06-07,,,105.0,105.0,105.0
36173,105.0,105.0,105.0,105.0,0,XCIS,2021-06-08,,,105.0,105.0,105.0
37016,105.0,105.0,105.0,105.0,0,XCIS,2021-06-09,,,105.0,105.0,105.0
37863,105.0,105.0,105.0,105.0,0,XCIS,2021-06-10,,,105.0,105.0,105.0
38710,105.0,105.0,105.0,105.0,0,XCIS,2021-06-11,,,105.0,105.0,105.0
39557,105.0,105.0,105.0,105.0,0,XCIS,2021-06-14,,,105.0,105.0,105.0
40404,105.0,105.0,105.0,105.0,0,XCIS,2021-06-15,,,105.0,105.0,105.0
41251,105.0,105.0,105.0,105.0,0,XCIS,2021-06-16,,,105.0,105.0,105.0
42098,105.0,105.0,105.0,105.0,0,XCIS,2021-06-17,,,105.0,105.0,105.0
42945,105.0,105.0,105.0,105.0,0,XCIS,2021-06-18,,,105.0,105.0,105.0
43792,105.0,105.0,105.0,105.0,0,XCIS,2021-06-21,,,105.0,105.0,105.0
44639,105.0,105.0,105.0,105.0,0,XCIS,2021-06-22,,,105.0,105.0,105.0
45486,105.0,105.0,105.0,105.0,0,XCIS,2021-06-23,,,105.0,105.0,105.0
46333,105.0,105.0,105.0,105.0,0,XCIS,2021-06-24,,,105.0,105.0,105.0
47180,105.0,105.0,105.0,105.0,0,XCIS,2021-06-25,,,105.0,105.0,105.0
48028,105.0,105.0,105.0,105.0,0,XCIS,2021-06-28,,,105.0,105.0,105.0
49671,105.0,105.0,105.0,105.0,0,XCIS,2021-06-30,,,105.0,105.0,105.0
50522,105.0,105.0,105.0,105.0,0,XCIS,2021-07-01,,,105.0,105.0,105.0
51373,105.0,105.0,105.0,105.0,0,XCIS,2021-07-02,,,105.0,105.0,105.0
52224,105.0,105.0,105.0,105.0,0,XCIS,2021-07-05,,,105.0,105.0,105.0
53075,105.0,105.0,105.0,105.0,0,XCIS,2021-07-06,,,105.0,105.0,105.0
53889,105.0,105.0,105.0,105.0,0,XCIS,2021-07-07,,,105.0,105.0,105.0
54737,105.0,105.0,105.0,105.0,0,XCIS,2021-07-08,,,105.0,105.0,105.0
55590,105.0,105.0,105.0,105.0,0,XCIS,2021-07-09,,,105.0,105.0,105.0
56443,105.0,105.0,105.0,105.0,0,XCIS,2021-07-12,,,105.0,105.0,105.0
57296,105.0,105.0,105.0,105.0,0,XCIS,2021-07-13,,,105.0,105.0,105.0
58149,105.0,105.0,105.0,105.0,0,XCIS,2021-07-14,,,105.0,105.0,105.0
59002,105.0,105.0,105.0,105.0,0,XCIS,2021-07-15,,,105.0,105.0,105.0
59855,105.0,105.0,105.0,105.0,0,XCIS,2021-07-16,,,105.0,105.0,105.0
60707,105.0,105.0,105.0,105.0,0,XCIS,2021-07-19,,,105.0,105.0,105.0
61559,105.0,105.0,105.0,105.0,0,XCIS,2021-07-21,,,105.0,105.0,105.0
62411,105.0,105.0,105.0,105.0,0,XCIS,2021-07-22,,,105.0,105.0,105.0
63263,105.0,105.0,105.0,105.0,0,XCIS,2021-07-23,,,105.0,105.0,105.0
64115,105.0,105.0,105.0,105.0,0,XCIS,2021-07-26,,,105.0,105.0,105.0
64969,105.0,105.0,105.0,105.0,0,XCIS,2021-07-27,,,105.0,105.0,105.0
65823,105.0,105.0,105.0,105.0,0,XCIS,2021-07-28,,,105.0,105.0,105.0
