,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
124354,385.0,385.0,385.0,385.0,40200,XIHD,2020-07-01,,,,,
131775,390.0,390.0,390.0,390.0,2500,XIHD,2020-07-02,,,,,
105449,390.0,392.0,392.0,390.0,2600,XIHD,2020-07-03,,,,,
87309,390.0,394.0,394.0,389.0,9900,XIHD,2020-07-06,,,,,
34541,403.0,402.0,403.0,390.0,4700,XIHD,2020-07-07,,,,,
49386,396.0,402.0,402.0,394.0,19700,XIHD,2020-07-08,,,,,
117781,402.0,402.0,405.0,402.0,7800,XIHD,2020-07-09,,,,,
23836,399.0,398.0,399.0,398.0,2500,XIHD,2020-07-10,,,,,395.625
15600,400.0,400.0,400.0,400.0,3500,XIHD,2020-07-13,,,,,396.59722222222223
32078,401.0,404.0,404.0,400.0,500,XIHD,2020-07-14,,,,396.9,398.24228395061726
93083,404.0,402.0,404.0,402.0,26800,XIHD,2020-07-15,,,,398.6,399.0773319615912
22191,402.0,402.0,402.0,402.0,100,XIHD,2020-07-16,,,,399.8,399.72681374790426
107889,402.0,396.0,404.0,396.0,3900,XIHD,2020-07-17,,,,400.2,398.89863291503667
80725,403.0,397.0,403.0,396.0,10600,XIHD,2020-07-20,,,,400.5,398.47671448947295
106262,402.0,408.0,409.0,402.0,400,XIHD,2020-07-21,,,,401.1,400.59300015847896
97205,407.0,406.0,409.0,406.0,14100,XIHD,2020-07-22,,,,401.5,401.79455567881695
9011,410.0,411.0,411.0,403.0,9600,XIHD,2020-07-23,,,,402.4,403.84020997241316
104640,411.0,405.0,411.0,405.0,106900,XIHD,2020-07-24,,,,403.1,404.0979410896547
57636,410.0,404.0,410.0,404.0,1200,XIHD,2020-07-27,,,,403.5,404.0761764030648
41959,404.0,403.0,404.0,403.0,1500,XIHD,2020-07-28,,,,403.4,403.8370260912726
114493,408.0,406.0,408.0,402.0,500,XIHD,2020-07-29,,,,403.8,404.3176869598787
83179,406.0,408.0,408.0,406.0,4200,XIHD,2020-07-30,,,,404.4,405.13597874657233
121079,408.0,398.0,408.0,390.0,43300,XIHD,2020-08-03,,,,404.6,403.5502056917785
7374,399.0,400.0,400.0,399.0,101800,XIHD,2020-08-04,,,,404.9,402.7612710936055
55992,403.0,403.0,403.0,403.0,1000,XIHD,2020-08-05,,,,404.4,402.81432196169317
72483,415.0,408.0,415.0,408.0,3600,XIHD,2020-08-06,,,,404.6,403.9666948590947
44431,408.0,408.0,408.0,408.0,100,XIHD,2020-08-07,,,,404.3,404.86298489040695
102164,408.0,408.0,408.0,408.0,0,XIHD,2020-08-10,,,,404.6,405.5600993592054
55179,415.0,416.0,416.0,415.0,1200,XIHD,2020-08-11,,,,405.8,407.880077279382
123545,415.0,419.0,419.0,414.0,8500,XIHD,2020-08-12,,,402.56666666666666,407.4,410.3511712172971
65060,419.0,419.0,419.0,419.0,600,XIHD,2020-08-13,,,403.7,408.7,412.2731331690089
90631,420.0,414.0,420.0,413.0,4400,XIHD,2020-08-14,,,404.5,409.3,412.65688135367355
63416,426.0,419.0,426.0,419.0,1100,XIHD,2020-08-18,,,405.4,411.4,414.06646327507946
