,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
121854,418.0,418.0,418.0,418.0,200,XIID,2020-07-01,,,,,
129275,419.0,419.0,419.0,419.0,2900,XIID,2020-07-02,,,,,
102949,419.0,419.0,419.0,419.0,0,XIID,2020-07-03,,,,,
85643,419.0,419.0,419.0,419.0,0,XIID,2020-07-06,,,,,
34543,419.0,419.0,419.0,419.0,0,XIID,2020-07-07,,,,,
48554,432.0,432.0,432.0,432.0,200,XIID,2020-07-08,,,,,
115281,437.0,437.0,437.0,437.0,1144000,XIID,2020-07-09,,,,,
23838,437.0,437.0,437.0,437.0,0,XIID,2020-07-10,,,,,425.0
15602,437.0,438.0,438.0,431.0,57000,XIID,2020-07-13,,,,,427.8888888888889
32080,438.0,440.0,440.0,438.0,500,XIID,2020-07-14,,,,427.8,430.58024691358025
90583,440.0,440.0,440.0,440.0,100,XIID,2020-07-15,,,,430.0,432.6735253772291
22193,440.0,440.0,440.0,440.0,0,XIID,2020-07-16,,,,432.1,434.301630848956
105389,440.0,441.0,441.0,440.0,3700,XIID,2020-07-17,,,,434.3,435.79015732696575
79059,441.0,441.0,441.0,441.0,0,XIID,2020-07-20,,,,436.5,436.94790014319557
103762,435.0,435.0,435.0,435.0,500,XIID,2020-07-21,,,,438.1,436.5150334447077
94705,435.0,435.0,435.0,435.0,0,XIID,2020-07-22,,,,438.4,436.17835934588373
9013,444.0,444.0,444.0,444.0,1300,XIID,2020-07-23,,,,439.1,437.91650171346515
102140,436.0,438.0,443.0,436.0,2500,XIID,2020-07-24,,,,439.2,437.9350568882507
55970,438.0,438.0,438.0,438.0,0,XIID,2020-07-27,,,,439.2,437.94948869086164
41961,438.0,438.0,438.0,438.0,0,XIID,2020-07-28,,,,439.0,437.9607134262257
111993,438.0,438.0,438.0,438.0,0,XIID,2020-07-29,,,,438.8,437.9694437759533
81513,438.0,438.0,438.0,438.0,0,XIID,2020-07-30,,,,438.6,437.9762340479637
118579,438.0,438.0,438.0,438.0,0,XIID,2020-08-03,,,,438.3,437.9815153706384
7376,438.0,438.0,438.0,438.0,0,XIID,2020-08-04,,,,438.0,437.9856230660521
54326,438.0,438.0,438.0,438.0,0,XIID,2020-08-05,,,,438.3,437.9888179402627
70817,438.0,438.0,438.0,438.0,0,XIID,2020-08-06,,,,438.6,437.99130284242653
44433,438.0,438.0,438.0,438.0,0,XIID,2020-08-07,,,,438.0,437.99323554410955
99664,438.0,438.0,438.0,438.0,0,XIID,2020-08-10,,,,438.0,437.99473875652967
53513,438.0,438.0,438.0,438.0,0,XIID,2020-08-11,,,,438.0,437.9959079217453
121045,438.0,438.0,438.0,438.0,0,XIID,2020-08-12,,,434.93333333333334,438.0,437.99681727246855
63394,438.0,451.0,451.0,438.0,14400,XIID,2020-08-13,,,436.03333333333336,439.3,440.8864134341422
88131,450.0,450.0,450.0,450.0,100,XIID,2020-08-14,,,437.06666666666666,440.5,442.9116548932217
61750,450.0,450.0,450.0,450.0,0,XIID,2020-08-18,,,438.1,441.7,444.48684269472795
89772,450.0,450.0,450.0,450.0,0,XIID,2020-08-19,,,439.1333333333333,442.9,445.7119887625662
10664,456.0,463.0,463.0,456.0,1200,XIID,2020-08-24,,,440.6,445.4,449.5537690375515
130091,463.0,463.0,463.0,463.0,0,XIID,2020-08-25,,,441.6333333333333,447.9,452.54182036254
104578,471.0,471.0,471.0,471.0,300,XIID,2020-08-26,,,442.76666666666665,451.2,456.64363805975336
4085,471.0,471.0,471.0,471.0,500,XIID,2020-08-27,,,443.9,454.5,459.8339407131415
79875,470.0,470.0,470.0,470.0,300,XIID,2020-08-28,,,444.96666666666664,457.7,462.09306499911
