,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
126865,398.0,398.0,398.0,398.0,0,XISB,2020-07-01,,,,,
134286,398.0,398.0,398.0,398.0,0,XISB,2020-07-02,,,,,
107960,398.0,398.0,398.0,398.0,0,XISB,2020-07-03,,,,,
89820,398.0,398.0,398.0,398.0,0,XISB,2020-07-06,,,,,
34550,398.0,398.0,398.0,398.0,0,XISB,2020-07-07,,,,,
51897,398.0,398.0,398.0,398.0,0,XISB,2020-07-08,,,,,
120292,398.0,398.0,398.0,398.0,0,XISB,2020-07-09,,,,,
23845,398.0,398.0,398.0,398.0,0,XISB,2020-07-10,,,,,398.0
15609,398.0,398.0,398.0,398.0,0,XISB,2020-07-13,,,,,398.0
32087,398.0,398.0,398.0,398.0,0,XISB,2020-07-14,,,,398.0,398.0
95594,398.0,398.0,398.0,398.0,0,XISB,2020-07-15,,,,398.0,398.0
22200,398.0,398.0,398.0,398.0,0,XISB,2020-07-16,,,,398.0,398.0
110400,398.0,398.0,398.0,398.0,0,XISB,2020-07-17,,,,398.0,398.0
83236,398.0,398.0,398.0,398.0,0,XISB,2020-07-20,,,,398.0,398.0
108773,398.0,398.0,398.0,398.0,0,XISB,2020-07-21,,,,398.0,398.0
99716,398.0,398.0,398.0,398.0,0,XISB,2020-07-22,,,,398.0,398.0
9020,398.0,398.0,398.0,398.0,0,XISB,2020-07-23,,,,398.0,398.0
107151,398.0,398.0,398.0,398.0,0,XISB,2020-07-24,,,,398.0,398.0
60147,398.0,398.0,398.0,398.0,0,XISB,2020-07-27,,,,398.0,398.0
43636,398.0,398.0,398.0,398.0,0,XISB,2020-07-28,,,,398.0,398.0
117004,398.0,398.0,398.0,398.0,0,XISB,2020-07-29,,,,398.0,398.0
85690,398.0,398.0,398.0,398.0,0,XISB,2020-07-30,,,,398.0,398.0
123590,398.0,398.0,398.0,398.0,0,XISB,2020-08-03,,,,398.0,398.0
7383,398.0,398.0,398.0,398.0,0,XISB,2020-08-04,,,,398.0,398.0
58503,398.0,398.0,398.0,398.0,0,XISB,2020-08-05,,,,398.0,398.0
74994,398.0,398.0,398.0,398.0,0,XISB,2020-08-06,,,,398.0,398.0
46942,398.0,398.0,398.0,398.0,0,XISB,2020-08-07,,,,398.0,398.0
104675,398.0,398.0,398.0,398.0,0,XISB,2020-08-10,,,,398.0,398.0
57690,398.0,398.0,398.0,398.0,0,XISB,2020-08-11,,,,398.0,398.0
126056,398.0,398.0,398.0,398.0,0,XISB,2020-08-12,,,398.0,398.0,398.0
67571,398.0,398.0,398.0,398.0,0,XISB,2020-08-13,,,398.0,398.0,398.0
93142,398.0,398.0,398.0,398.0,0,XISB,2020-08-14,,,398.0,398.0,398.0
65927,398.0,398.0,398.0,398.0,0,XISB,2020-08-18,,,398.0,398.0,398.0
94783,398.0,398.0,398.0,398.0,0,XISB,2020-08-19,,,398.0,398.0,398.0
10671,398.0,398.0,398.0,398.0,0,XISB,2020-08-24,,,398.0,398.0,398.0
135102,398.0,398.0,398.0,398.0,0,XISB,2020-08-25,,,398.0,398.0,398.0
109589,398.0,398.0,398.0,398.0,0,XISB,2020-08-26,,,398.0,398.0,398.0
4092,398.0,398.0,398.0,398.0,0,XISB,2020-08-27,,,398.0,398.0,398.0
84052,398.0,398.0,398.0,398.0,0,XISB,2020-08-28,,,398.0,398.0,398.0
27972,398.0,398.0,398.0,398.0,0,XISB,2020-08-31,,,398.0,398.0,398.0
35367,398.0,398.0,398.0,398.0,0,XISB,2020-09-01,,,398.0,398.0,398.0
39505,398.0,398.0,398.0,398.0,0,XISB,2020-09-02,,,398.0,398.0,398.0
73344,398.0,398.0,398.0,398.0,0,XISB,2020-09-03,,,398.0,398.0,398.0
13148,398.0,398.0,398.0,398.0,0,XISB,2020-09-04,,,398.0,398.0,398.0
27155,398.0,398.0,398.0,398.0,0,XISB,2020-09-07,,,398.0,398.0,398.0
113706,398.0,398.0,398.0,398.0,0,XISB,2020-09-08,,,398.0,398.0,398.0
127687,398.0,398.0,398.0,398.0,0,XISB,2020-09-09,,,398.0,398.0,398.0
8207,398.0,398.0,398.0,398.0,0,XISB,2020-09-10,,,398.0,398.0,398.0
18084,398.0,398.0,398.0,398.0,0,XISB,2020-09-11,,,398.0,398.0,398.0
47768,398.0,398.0,398.0,398.0,0,XISB,2020-09-14,,,398.0,398.0,398.0
70877,398.0,398.0,398.0,398.0,0,XISB,2020-09-15,,,398.0,398.0,398.0
1621,398.0,398.0,398.0,398.0,0,XISB,2020-09-16,,,398.0,398.0,398.0
60975,398.0,398.0,398.0,398.0,0,XISB,2020-09-17,,,398.0,398.0,398.0
66755,398.0,398.0,398.0,398.0,0,XISB,2020-09-18,,,398.0,398.0,398.0
76647,398.0,398.0,398.0,398.0,0,XISB,2020-09-21,,,398.0,398.0,398.0
105503,398.0,398.0,398.0,398.0,0,XISB,2020-09-22,,,398.0,398.0,398.0
81599,398.0,398.0,398.0,398.0,0,XISB,2020-09-23,,,398.0,398.0,398.0
70049,398.0,398.0,398.0,398.0,0,XISB,2020-09-24,,,398.0,398.0,398.0
102203,398.0,398.0,398.0,398.0,0,XISB,2020-09-25,,,398.0,398.0,398.0
64285,398.0,398.0,398.0,398.0,0,XISB,2020-09-28,,,398.0,398.0,398.0
16435,398.0,398.0,398.0,398.0,0,XISB,2020-09-29,,,398.0,398.0,398.0
89010,398.0,398.0,398.0,398.0,0,XISB,2020-09-30,,,398.0,398.0,398.0
97244,398.0,398.0,398.0,398.0,0,XISB,2020-10-01,,,398.0,398.0,398.0
72527,398.0,398.0,398.0,398.0,0,XISB,2020-10-02,,,398.0,398.0,398.0
12331,398.0,398.0,398.0,398.0,0,XISB,2020-10-05,,,398.0,398.0,398.0
125240,398.0,398.0,398.0,398.0,0,XISB,2020-10-06,,,398.0,398.0,398.0
21389,398.0,398.0,398.0,398.0,0,XISB,2020-10-07,,,398.0,398.0,398.0
19733,398.0,398.0,398.0,398.0,0,XISB,2020-10-08,,,398.0,398.0,398.0
115366,398.0,398.0,398.0,398.0,0,XISB,2020-10-09,,,398.0,398.0,398.0
28797,398.0,398.0,398.0,398.0,0,XISB,2020-10-12,,,398.0,398.0,398.0
80772,398.0,398.0,398.0,398.0,0,XISB,2020-10-13,,,398.0,398.0,398.0
112055,398.0,398.0,398.0,398.0,0,XISB,2020-10-14,,,398.0,398.0,398.0
14798,398.0,398.0,398.0,398.0,0,XISB,2020-10-15,,,398.0,398.0,398.0
5746,398.0,398.0,398.0,398.0,0,XISB,2020-10-16,,,398.0,398.0,398.0
793,398.0,398.0,398.0,398.0,0,XISB,2020-10-19,,,398.0,398.0,398.0
130171,398.0,398.0,398.0,398.0,0,XISB,2020-10-20,,,398.0,398.0,398.0
79122,398.0,398.0,398.0,398.0,0,XISB,2020-10-21,,,398.0,398.0,398.0
30452,398.0,398.0,398.0,398.0,0,XISB,2020-10-22,,,398.0,398.0,398.0
32912,398.0,398.0,398.0,398.0,0,XISB,2020-10-23,,,398.0,398.0,398.0
61800,398.0,398.0,398.0,398.0,0,XISB,2020-10-26,,,398.0,398.0,398.0
56874,398.0,398.0,398.0,398.0,0,XISB,2020-10-27,,,398.0,398.0,398.0
93967,398.0,398.0,398.0,398.0,0,XISB,2020-11-02,,,398.0,398.0,398.0
88184,398.0,398.0,398.0,398.0,0,XISB,2020-11-03,,,398.0,398.0,398.0
6570,398.0,398.0,398.0,398.0,0,XISB,2020-11-04,,,398.0,398.0,398.0
18908,398.0,398.0,398.0,398.0,0,XISB,2020-11-05,,,398.0,398.0,398.0
45294,398.0,398.0,398.0,398.0,0,XISB,2020-11-06,,,398.0,398.0,398.0
96418,398.0,398.0,398.0,398.0,0,XISB,2020-11-09,,,398.0,398.0,398.0
2445,398.0,398.0,398.0,398.0,0,XISB,2020-11-10,,,398.0,398.0,398.0
24669,398.0,398.0,398.0,398.0,0,XISB,2020-11-11,,,398.0,398.0,398.0
82423,398.0,398.0,398.0,398.0,0,XISB,2020-11-12,,,398.0,398.0,398.0
79947,398.0,398.0,398.0,398.0,0,XISB,2020-11-13,,,398.0,398.0,398.0
78297,398.0,398.0,398.0,398.0,0,XISB,2020-11-16,,,398.0,398.0,398.0
41164,398.0,398.0,398.0,398.0,0,XISB,2020-11-17,,,398.0,398.0,398.0
17260,398.0,398.0,398.0,398.0,0,XISB,2020-11-18,,,398.0,398.0,398.0
71702,398.0,398.0,398.0,398.0,0,XISB,2020-11-19,,,398.0,398.0,398.0
84877,398.0,398.0,398.0,398.0,0,XISB,2020-11-20,,,398.0,398.0,398.0
75818,398.0,398.0,398.0,398.0,0,XISB,2020-11-23,,,398.0,398.0,398.0
117828,398.0,398.0,398.0,398.0,0,XISB,2020-11-24,,,398.0,398.0,398.0
124414,398.0,398.0,398.0,398.0,0,XISB,2020-11-25,,,398.0,398.0,398.0
63458,398.0,398.0,398.0,398.0,0,XISB,2020-11-26,398.0,,398.0,398.0,398.0
13972,398.0,398.0,398.0,398.0,0,XISB,2020-11-27,398.0,,398.0,398.0,398.0
122776,398.0,398.0,398.0,398.0,0,XISB,2020-11-30,398.0,,398.0,398.0,398.0
119479,398.0,398.0,398.0,398.0,0,XISB,2020-12-01,398.0,,398.0,398.0,398.0
121951,398.0,398.0,398.0,398.0,0,XISB,2020-12-02,398.0,,398.0,398.0,398.0
38687,398.0,398.0,398.0,398.0,0,XISB,2020-12-03,398.0,,398.0,398.0,398.0
31275,398.0,398.0,398.0,398.0,0,XISB,2020-12-04,398.0,,398.0,398.0,398.0
50255,398.0,398.0,398.0,398.0,0,XISB,2020-12-07,398.0,,398.0,398.0,398.0
98068,398.0,398.0,398.0,398.0,0,XISB,2020-12-08,398.0,,398.0,398.0,398.0
131824,398.0,398.0,398.0,398.0,0,XISB,2020-12-10,398.0,,398.0,398.0,398.0
41988,398.0,398.0,398.0,398.0,0,XISB,2020-12-11,398.0,,398.0,398.0,398.0
77471,398.0,398.0,398.0,398.0,0,XISB,2020-12-14,398.0,,398.0,398.0,398.0
116190,398.0,398.0,398.0,398.0,0,XISB,2020-12-15,398.0,,398.0,398.0,398.0
133476,398.0,398.0,398.0,398.0,0,XISB,2020-12-16,398.0,,398.0,398.0,398.0
68395,398.0,398.0,398.0,398.0,0,XISB,2020-12-17,398.0,,398.0,398.0,398.0
103858,398.0,398.0,398.0,398.0,0,XISB,2020-12-18,398.0,,398.0,398.0,398.0
118654,398.0,398.0,398.0,398.0,0,XISB,2020-12-21,398.0,,398.0,398.0,398.0
33736,398.0,398.0,398.0,398.0,0,XISB,2020-12-22,398.0,,398.0,398.0,398.0
101376,398.0,398.0,398.0,398.0,0,XISB,2020-12-23,398.0,,398.0,398.0,398.0
69221,398.0,398.0,398.0,398.0,0,XISB,2020-12-28,398.0,,398.0,398.0,398.0
