,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
71653,1017.0,1005.0,1027.0,1005.0,8300,XKMS,2020-11-23,,,,,
112829,1130.0,1020.0,1130.0,1018.0,7300,XKMS,2020-11-24,,,,,
119415,1020.0,1033.0,1034.0,1020.0,2500,XKMS,2020-11-25,,,,,
59293,1035.0,1036.0,1036.0,1035.0,2600,XKMS,2020-11-26,,,,,
13977,1033.0,1045.0,1045.0,1033.0,1100,XKMS,2020-11-27,,,,,
117777,1017.0,1017.0,1017.0,1017.0,300,XKMS,2020-11-30,,,,,
114480,1007.0,1019.0,1019.0,1007.0,200,XKMS,2020-12-01,,,,,
116952,1020.0,1032.0,1032.0,1020.0,200,XKMS,2020-12-02,,,,,1025.875
38692,1032.0,1032.0,1032.0,1032.0,0,XKMS,2020-12-03,,,,,1027.236111111111
31280,1032.0,1032.0,1032.0,1032.0,0,XKMS,2020-12-04,,,,1027.1,1028.2947530864196
46924,1034.0,1052.0,1052.0,1034.0,3000,XKMS,2020-12-07,,,,1031.8,1033.5625857338819
93069,1052.0,1052.0,1052.0,1052.0,0,XKMS,2020-12-08,,,,1035.0,1037.6597889041304
126825,1060.0,1050.0,1060.0,1050.0,1500,XKMS,2020-12-10,,,,1036.7,1040.402058036546
41159,1053.0,1053.0,1053.0,1053.0,10100,XKMS,2020-12-11,,,,1038.4,1043.2016006950912
73306,1053.0,1053.0,1053.0,1053.0,0,XKMS,2020-12-14,,,,1039.2,1045.3790227628488
111191,1051.0,1064.0,1064.0,1051.0,1200,XKMS,2020-12-15,,,,1043.9,1049.5170177044379
128477,1071.0,1085.0,1085.0,1071.0,4100,XKMS,2020-12-16,,,,1050.5,1057.4021248812294
64230,1091.0,1091.0,1091.0,1079.0,500,XKMS,2020-12-17,,,,1056.4,1064.8683193520674
98859,1082.0,1082.0,1082.0,1082.0,1000,XKMS,2020-12-18,,,,1061.4,1068.6753594960524
113655,1075.0,1087.0,1087.0,1075.0,4300,XKMS,2020-12-21,,,,1066.9,1072.747501830263
33741,1047.0,1047.0,1047.0,1047.0,100,XKMS,2020-12-22,,,,1066.4,1067.0258347568713
96377,1057.0,1039.0,1057.0,1020.0,600,XKMS,2020-12-23,,,,1065.1,1060.7978714775666
65056,1050.0,1058.0,1058.0,1050.0,200,XKMS,2020-12-28,,,,1065.9,1060.1761222603295
60945,1050.0,1050.0,1050.0,1050.0,100,XKMS,2020-12-29,,,,1065.6,1057.914761758034
127653,1050.0,1050.0,1050.0,1050.0,0,XKMS,2020-12-30,,,,1065.3,1056.1559258118043
4925,1050.0,1062.0,1062.0,1040.0,300,XKMS,2021-01-04,,,,1065.1,1057.4546089647367
