,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
124371,109.0,109.0,109.0,109.0,200,XNVE,2020-07-01,,,,,
131792,109.0,109.0,109.0,109.0,400,XNVE,2020-07-02,,,,,
105466,110.0,110.0,110.0,110.0,4000,XNVE,2020-07-03,,,,,
87326,110.0,110.0,110.0,110.0,4500,XNVE,2020-07-06,,,,,
34558,110.0,111.0,111.0,110.0,5700,XNVE,2020-07-07,,,,,
49403,111.0,111.0,111.0,111.0,16000,XNVE,2020-07-08,,,,,
117798,112.0,113.0,113.0,112.0,14000,XNVE,2020-07-09,,,,,
23853,112.0,113.0,113.0,112.0,14500,XNVE,2020-07-10,,,,,110.75
15617,111.0,113.0,113.0,111.0,13800,XNVE,2020-07-13,,,,,111.25
32095,116.0,116.0,116.0,116.0,200,XNVE,2020-07-14,,,,111.5,112.30555555555556
93100,114.0,115.0,115.0,114.0,12200,XNVE,2020-07-15,,,,112.1,112.90432098765432
22208,115.0,115.0,115.0,115.0,0,XNVE,2020-07-16,,,,112.7,113.37002743484224
107906,115.0,115.0,115.0,115.0,0,XNVE,2020-07-17,,,,113.2,113.73224356043285
80742,115.0,115.0,115.0,115.0,19800,XNVE,2020-07-20,,,,113.7,114.01396721367
106279,115.0,115.0,115.0,115.0,4000,XNVE,2020-07-21,,,,114.1,114.23308561063222
97222,116.0,116.0,116.0,116.0,1100,XNVE,2020-07-22,,,,114.6,114.62573325271394
9028,116.0,116.0,116.0,116.0,0,XNVE,2020-07-23,,,,114.9,114.93112586322195
104657,116.0,116.0,116.0,116.0,50000,XNVE,2020-07-24,,,,115.2,115.16865344917262
57653,116.0,116.0,116.0,116.0,0,XNVE,2020-07-27,,,,115.5,115.35339712713426
41976,116.0,116.0,116.0,116.0,0,XNVE,2020-07-28,,,,115.5,115.49708665443775
114510,116.0,116.0,116.0,116.0,0,XNVE,2020-07-29,,,,115.6,115.6088451756738
83196,116.0,116.0,116.0,116.0,0,XNVE,2020-07-30,,,,115.7,115.69576846996851
121096,115.0,115.0,115.0,115.0,10000,XNVE,2020-08-03,,,,115.7,115.54115325441995
7391,115.0,115.0,115.0,115.0,0,XNVE,2020-08-04,,,,115.7,115.42089697565996
56009,115.0,115.0,115.0,115.0,0,XNVE,2020-08-05,,,,115.7,115.32736431440219
72500,118.0,118.0,118.0,118.0,10000,XNVE,2020-08-06,,,,115.9,115.92128335564615
44448,119.0,119.0,119.0,119.0,5000,XNVE,2020-08-07,,,,116.2,116.605442609947
102181,120.0,120.0,120.0,120.0,700,XNVE,2020-08-10,,,,116.6,117.35978869662544
55196,120.0,120.0,120.0,120.0,0,XNVE,2020-08-11,,,,117.0,117.94650231959757
123562,121.0,122.0,122.0,121.0,3100,XNVE,2020-08-12,,,114.86666666666666,117.6,118.84727958190922
65077,125.0,123.0,126.0,123.0,95300,XNVE,2020-08-13,,,115.33333333333333,118.3,119.77010634148495
90648,124.0,124.0,124.0,124.0,51000,XNVE,2020-08-14,,,115.83333333333333,119.1,120.71008271004385
63433,124.0,126.0,126.0,124.0,102700,XNVE,2020-08-18,,,116.36666666666666,120.2,121.88561988558966
92289,125.0,126.0,126.0,125.0,6700,XNVE,2020-08-19,,,116.9,121.3,122.79992657768085
10679,126.0,126.0,126.0,126.0,0,XNVE,2020-08-24,,,117.4,122.4,123.51105400486288
132608,126.0,126.0,126.0,126.0,1000,XNVE,2020-08-25,,,117.9,123.2,124.06415311489336
107095,125.0,125.0,125.0,125.0,1200,XNVE,2020-08-26,,,118.3,123.8,124.2721190893615
4100,127.0,127.0,127.0,127.0,1000,XNVE,2020-08-27,,,118.76666666666667,124.5,124.87831484728116
81558,127.0,127.0,127.0,127.0,0,XNVE,2020-08-28,,,119.23333333333333,125.2,125.34980043677423
27980,128.0,128.0,128.0,128.0,100,XNVE,2020-08-31,,,119.63333333333334,125.8,125.93873367304663
35375,128.0,128.0,128.0,128.0,0,XNVE,2020-09-01,,,120.06666666666666,126.3,126.39679285681405
39513,128.0,128.0,128.0,128.0,0,XNVE,2020-09-02,,,120.5,126.7,126.75306111085537
70850,126.0,126.0,126.0,126.0,10000,XNVE,2020-09-03,,,120.86666666666666,126.7,126.58571419733195
13156,126.0,126.0,126.0,126.0,0,XNVE,2020-09-04,,,121.23333333333333,126.7,126.45555548681374
27163,126.0,126.0,126.0,126.0,0,XNVE,2020-09-07,,,121.6,126.7,126.35432093418846
111212,125.0,125.0,125.0,125.0,700,XNVE,2020-09-08,,,121.9,126.6,126.05336072659102
125193,124.0,124.0,124.0,124.0,100,XNVE,2020-09-09,,,122.16666666666667,126.5,125.59705834290413
8215,123.0,120.0,123.0,120.0,43300,XNVE,2020-09-10,,,122.3,125.8,124.35326760003655
18092,120.0,120.0,120.0,120.0,100,XNVE,2020-09-11,,,122.43333333333334,125.1,123.38587480002842
45274,118.0,118.0,118.0,118.0,1100,XNVE,2020-09-14,,,122.5,124.1,122.18901373335544
68383,118.0,118.0,118.0,118.0,0,XNVE,2020-09-15,,,122.56666666666666,123.1,121.25812179260978
1629,118.0,118.0,118.0,118.0,0,XNVE,2020-09-16,,,122.63333333333334,122.1,120.53409472758538
58481,119.0,119.0,119.0,119.0,10000,XNVE,2020-09-17,,,122.76666666666667,121.4,120.19318478812197
64261,119.0,119.0,119.0,119.0,0,XNVE,2020-09-18,,,122.9,120.7,119.92803261298376
74153,119.0,119.0,119.0,119.0,0,XNVE,2020-09-21,,,123.03333333333333,120.0,119.72180314343181
103009,119.0,119.0,119.0,119.0,0,XNVE,2020-09-22,,,123.06666666666666,119.4,119.56140244489141
79105,119.0,119.0,119.0,119.0,0,XNVE,2020-09-23,,,123.06666666666666,118.9,119.43664634602665
67555,119.0,119.0,119.0,119.0,0,XNVE,2020-09-24,,,123.03333333333333,118.8,119.33961382468739
99709,119.0,119.0,119.0,119.0,0,XNVE,2020-09-25,,,123.0,118.7,119.26414408586797
61791,115.0,115.0,115.0,115.0,10000,XNVE,2020-09-28,,,122.76666666666667,118.4,118.31655651123064
16443,115.0,115.0,115.0,115.0,200,XNVE,2020-09-29,,,122.5,118.1,117.5795439531794
