,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
124372,728.0,728.0,728.0,728.0,0,XPCR,2020-07-01,,,,,
131793,739.0,739.0,739.0,739.0,100,XPCR,2020-07-02,,,,,
105467,739.0,739.0,739.0,739.0,0,XPCR,2020-07-03,,,,,
87327,745.0,745.0,745.0,745.0,100,XPCR,2020-07-06,,,,,
34559,745.0,745.0,745.0,745.0,0,XPCR,2020-07-07,,,,,
49404,766.0,766.0,766.0,766.0,100,XPCR,2020-07-08,,,,,
117799,766.0,766.0,766.0,766.0,0,XPCR,2020-07-09,,,,,
23854,755.0,755.0,755.0,755.0,100,XPCR,2020-07-10,,,,,747.875
15618,761.0,761.0,761.0,761.0,100,XPCR,2020-07-13,,,,,750.7916666666666
32096,761.0,761.0,761.0,761.0,0,XPCR,2020-07-14,,,,750.5,753.0601851851851
93101,761.0,761.0,761.0,761.0,0,XPCR,2020-07-15,,,,753.8,754.8245884773662
22209,767.0,767.0,767.0,767.0,100,XPCR,2020-07-16,,,,756.6,757.5302354823959
107907,767.0,767.0,767.0,767.0,0,XPCR,2020-07-17,,,,759.4,759.634627597419
80743,767.0,767.0,767.0,767.0,0,XPCR,2020-07-20,,,,761.6,761.2713770202148
106280,770.0,770.0,770.0,770.0,100,XPCR,2020-07-21,,,,764.1,763.2110710157226
97223,770.0,770.0,770.0,770.0,0,XPCR,2020-07-22,,,,764.5,764.7197219011176
9029,770.0,770.0,770.0,770.0,0,XPCR,2020-07-23,,,,764.9,765.8931170342026
104658,770.0,770.0,770.0,770.0,0,XPCR,2020-07-24,,,,766.4,766.8057576932687
57654,770.0,770.0,770.0,770.0,0,XPCR,2020-07-27,,,,767.3,767.5155893169867
41977,770.0,770.0,770.0,770.0,0,XPCR,2020-07-28,,,,768.2,768.0676805798786
114511,770.0,770.0,770.0,770.0,0,XPCR,2020-07-29,,,,769.1,768.4970848954612
83197,770.0,770.0,770.0,770.0,0,XPCR,2020-07-30,,,,769.4,768.8310660298031
121097,770.0,744.0,770.0,744.0,6500,XPCR,2020-08-03,,,,767.1,763.3130513565135
7392,754.0,754.0,754.0,754.0,100,XPCR,2020-08-04,,,,765.8,761.2434843883993
56010,767.0,767.0,767.0,767.0,100,XPCR,2020-08-05,,,,765.5,762.5227100798661
72501,779.0,779.0,779.0,779.0,100,XPCR,2020-08-06,,,,766.4,766.1843300621181
44449,772.0,772.0,772.0,772.0,100,XPCR,2020-08-07,,,,766.6,767.4767011594251
102182,778.0,778.0,778.0,778.0,100,XPCR,2020-08-10,,,,767.4,769.8152120128863
55197,785.0,785.0,785.0,785.0,100,XPCR,2020-08-11,,,,768.9,773.189609343356
123563,785.0,785.0,785.0,785.0,0,XPCR,2020-08-12,,,763.0333333333333,770.4,775.814140600388
65078,797.0,797.0,797.0,797.0,100,XPCR,2020-08-13,,,765.3333333333334,773.1,780.5221093558573
90649,797.0,797.0,797.0,797.0,0,XPCR,2020-08-14,,,767.2666666666667,775.8,784.1838628323335
63434,797.0,797.0,797.0,797.0,0,XPCR,2020-08-18,,,769.2,781.1,787.0318933140371
92290,805.0,805.0,805.0,805.0,100,XPCR,2020-08-19,,,771.2,786.2,791.0248059109177
10680,805.0,805.0,805.0,805.0,0,XPCR,2020-08-24,,,773.2,790.0,794.1304045973804
132609,816.0,816.0,816.0,816.0,100,XPCR,2020-08-25,,,774.8666666666667,793.7,798.9903146868514
