,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
820,433.0,433.0,433.0,433.0,0,XPLC,2021-04-01,,,,,
1660,433.0,433.0,433.0,433.0,0,XPLC,2021-04-05,,,,,
2500,428.0,429.0,429.0,428.0,400,XPLC,2021-04-06,,,,,
3342,429.0,429.0,429.0,429.0,0,XPLC,2021-04-07,,,,,
4184,429.0,429.0,429.0,429.0,0,XPLC,2021-04-08,,,,,
5027,429.0,429.0,429.0,429.0,0,XPLC,2021-04-09,,,,,
5871,429.0,429.0,429.0,429.0,0,XPLC,2021-04-12,,,,,
6715,429.0,429.0,429.0,429.0,0,XPLC,2021-04-13,,,,,430.0
7560,429.0,429.0,429.0,429.0,0,XPLC,2021-04-14,,,,,429.77777777777777
8405,429.0,429.0,429.0,429.0,0,XPLC,2021-04-15,,,,429.8,429.6049382716049
9249,429.0,429.0,429.0,429.0,0,XPLC,2021-04-16,,,,429.4,429.4705075445816
10093,438.0,431.0,438.0,431.0,400,XPLC,2021-04-19,,,,429.2,429.8103947568968
10937,431.0,431.0,431.0,431.0,0,XPLC,2021-04-20,,,,429.4,430.0747514775864
11781,431.0,431.0,431.0,431.0,0,XPLC,2021-04-21,,,,429.6,430.280362260345
12625,431.0,431.0,431.0,431.0,0,XPLC,2021-04-22,,,,429.8,430.4402817580461
13469,431.0,431.0,431.0,431.0,0,XPLC,2021-04-23,,,,430.0,430.5646635895914
14312,428.0,428.0,428.0,428.0,3700,XPLC,2021-04-26,,,,429.9,429.99473834746
15155,428.0,428.0,428.0,428.0,0,XPLC,2021-04-27,,,,429.8,429.55146315913555
15999,428.0,428.0,428.0,428.0,0,XPLC,2021-04-28,,,,429.7,429.20669356821656
16843,433.0,433.0,433.0,433.0,200,XPLC,2021-04-29,,,,430.1,430.04965055305735
17687,433.0,433.0,433.0,433.0,0,XPLC,2021-04-30,,,,430.5,430.70528376348904
18530,433.0,433.0,433.0,433.0,100,XPLC,2021-05-03,,,,430.7,431.2152207049359
19373,433.0,433.0,433.0,433.0,0,XPLC,2021-05-04,,,,430.9,431.6118383260613
20217,433.0,433.0,433.0,433.0,0,XPLC,2021-05-05,,,,431.1,431.92031869804765
21061,433.0,433.0,433.0,433.0,0,XPLC,2021-05-06,,,,431.3,432.1602478762593
21905,433.0,433.0,433.0,433.0,0,XPLC,2021-05-07,,,,431.5,432.3468594593128
22748,433.0,433.0,433.0,433.0,100,XPLC,2021-05-10,,,,432.0,432.4920018016877
23591,433.0,433.0,433.0,433.0,0,XPLC,2021-05-11,,,,432.5,432.6048902902015
24431,416.0,416.0,416.0,416.0,200,XPLC,2021-05-17,,,,431.3,428.91491467015675
25271,413.0,413.0,413.0,413.0,100,XPLC,2021-05-18,,,429.73333333333335,429.3,425.3782669656775
26111,413.0,413.0,413.0,413.0,0,XPLC,2021-05-19,,,429.06666666666666,427.3,422.6275409733047
27835,413.0,413.0,413.0,413.0,0,XPLC,2021-05-21,,,428.4,425.3,420.4880874236814
28677,413.0,413.0,413.0,413.0,0,XPLC,2021-05-24,,,427.8666666666667,423.3,418.8240679961967
30310,411.0,411.0,411.0,411.0,100,XPLC,2021-05-27,,,427.26666666666665,421.1,417.0853862192641
31152,411.0,411.0,411.0,411.0,0,XPLC,2021-05-28,,,426.6666666666667,418.9,415.7330781705387
31994,411.0,411.0,411.0,411.0,0,XPLC,2021-05-31,,,426.06666666666666,416.7,414.6812830215301
32836,419.0,419.0,419.0,419.0,100,XPLC,2021-06-02,,,425.73333333333335,415.3,415.6409979056345
33677,419.0,419.0,419.0,419.0,0,XPLC,2021-06-03,,,425.4,413.9,416.3874428154935
34518,419.0,419.0,419.0,419.0,0,XPLC,2021-06-04,,,425.06666666666666,414.2,416.96801107871715
35359,419.0,419.0,419.0,419.0,0,XPLC,2021-06-07,,,424.73333333333335,414.8,417.4195641723356
36202,419.0,419.0,419.0,419.0,0,XPLC,2021-06-08,,,424.4,415.4,417.7707721340388
37045,419.0,419.0,419.0,419.0,0,XPLC,2021-06-09,,,424.0,416.0,418.04393388203016
37892,419.0,419.0,419.0,419.0,0,XPLC,2021-06-10,,,423.6,416.6,418.2563930193568
38739,419.0,419.0,419.0,419.0,0,XPLC,2021-06-11,,,423.2,417.4,418.4216390150553
39586,419.0,419.0,419.0,419.0,0,XPLC,2021-06-14,,,422.8,418.2,418.55016367837635
40433,419.0,419.0,419.0,419.0,0,XPLC,2021-06-15,,,422.4,419.0,418.6501273054038
41280,419.0,419.0,419.0,419.0,0,XPLC,2021-06-16,,,422.1,419.0,418.72787679309187
42127,419.0,419.0,419.0,419.0,0,XPLC,2021-06-17,,,421.8,419.0,418.78834861684925
42974,419.0,419.0,419.0,419.0,0,XPLC,2021-06-18,,,421.5,419.0,418.83538225754944
43821,419.0,419.0,419.0,419.0,0,XPLC,2021-06-21,,,421.03333333333336,419.0,418.871963978094
44668,419.0,419.0,419.0,419.0,0,XPLC,2021-06-22,,,420.56666666666666,419.0,418.90041642740647
45515,419.0,419.0,419.0,419.0,0,XPLC,2021-06-23,,,420.1,419.0,418.922546110205
46362,419.0,419.0,419.0,419.0,0,XPLC,2021-06-24,,,419.6333333333333,419.0,418.939758085715
47209,419.0,419.0,419.0,419.0,0,XPLC,2021-06-25,,,419.1666666666667,419.0,418.95314517777837
48057,408.0,408.0,408.0,408.0,600,XPLC,2021-06-28,,,418.3333333333333,417.9,416.51911291604983
49700,409.0,409.0,409.0,409.0,0,XPLC,2021-06-30,,,417.53333333333336,416.9,414.8481989347054
50551,409.0,409.0,409.0,409.0,0,XPLC,2021-07-01,,,416.73333333333335,415.9,413.54859917143756
51402,409.0,409.0,409.0,409.0,0,XPLC,2021-07-02,,,415.93333333333334,414.9,412.5377993555625
52253,409.0,409.0,409.0,409.0,0,XPLC,2021-07-05,,,415.7,413.9,411.75162172099306
53104,409.0,409.0,409.0,409.0,0,XPLC,2021-07-06,,,415.56666666666666,412.9,411.14015022743905
53917,409.0,409.0,409.0,409.0,0,XPLC,2021-07-07,,,415.43333333333334,411.9,410.66456128800814
54766,410.0,410.0,410.0,410.0,100,XPLC,2021-07-08,,,415.3333333333333,411.0,410.5168810017841
55619,410.0,410.0,410.0,410.0,100,XPLC,2021-07-09,,,415.23333333333335,410.1,410.4020185569432
56472,410.0,410.0,410.0,410.0,200,XPLC,2021-07-12,,,415.2,409.2,410.31268109984467
57325,408.0,408.0,408.0,408.0,100,XPLC,2021-07-13,,,415.1,409.2,409.79875196654586
58178,406.0,406.0,406.0,406.0,100,XPLC,2021-07-14,,,414.93333333333334,408.9,408.954584862869
59031,406.0,406.0,406.0,406.0,0,XPLC,2021-07-15,,,414.5,408.6,408.29801044889814
59884,406.0,406.0,406.0,406.0,0,XPLC,2021-07-16,,,414.06666666666666,408.3,407.7873414602541
60736,406.0,406.0,406.0,406.0,0,XPLC,2021-07-19,,,413.6333333333333,408.0,407.3901544690865
61588,408.0,408.0,408.0,408.0,500,XPLC,2021-07-21,,,413.26666666666665,407.9,407.52567569817836
62440,412.0,412.0,412.0,412.0,400,XPLC,2021-07-22,,,413.03333333333336,408.2,408.51996998747205
63292,412.0,412.0,412.0,412.0,100,XPLC,2021-07-23,,,412.8,408.4,409.29330999025603
64144,412.0,412.0,412.0,412.0,0,XPLC,2021-07-26,,,412.56666666666666,408.6,409.894796659088
64998,412.0,412.0,412.0,412.0,0,XPLC,2021-07-27,,,412.3333333333333,408.8,410.3626196237351
65852,412.0,412.0,412.0,412.0,0,XPLC,2021-07-28,,,412.1,409.2,410.7264819295717
66706,412.0,412.0,412.0,412.0,0,XPLC,2021-07-29,,,411.8666666666667,409.8,411.0094859452224
67560,412.0,412.0,412.0,412.0,0,XPLC,2021-07-30,,,411.6333333333333,410.4,411.2296001796174
68414,412.0,412.0,412.0,412.0,0,XPLC,2021-08-02,,,411.4,411.0,411.4008001397024
69268,412.0,412.0,412.0,412.0,0,XPLC,2021-08-03,,,411.1666666666667,411.6,411.533955664213
70122,412.0,412.0,412.0,412.0,0,XPLC,2021-08-04,,,410.93333333333334,412.0,411.63752107216567
70976,412.0,412.0,412.0,412.0,0,XPLC,2021-08-05,,,410.7,412.0,411.71807194501775
71831,412.0,412.0,412.0,412.0,0,XPLC,2021-08-06,,,410.46666666666664,412.0,411.7807226239027
72686,412.0,412.0,412.0,412.0,0,XPLC,2021-08-09,,,410.23333333333335,412.0,411.8294509297021
73541,412.0,412.0,412.0,412.0,0,XPLC,2021-08-10,,,410.0,412.0,411.86735072310165
74396,407.0,407.0,407.0,407.0,200,XPLC,2021-08-12,,,409.96666666666664,411.5,410.78571722907907
75251,407.0,407.0,407.0,407.0,0,XPLC,2021-08-13,,,409.9,411.0,409.94444673372817
76106,407.0,407.0,407.0,407.0,0,XPLC,2021-08-16,,,409.8333333333333,410.5,409.2901252373441
76961,407.0,407.0,407.0,407.0,100,XPLC,2021-08-18,,,409.76666666666665,410.0,408.7812085179343
77816,407.0,407.0,407.0,407.0,0,XPLC,2021-08-19,,,409.7,409.5,408.3853844028378
78671,407.0,407.0,407.0,407.0,0,XPLC,2021-08-20,,,409.6333333333333,409.0,408.0775212022072
79526,407.0,407.0,407.0,407.0,0,XPLC,2021-08-23,,,409.56666666666666,408.5,407.8380720461612
80381,407.0,407.0,407.0,407.0,0,XPLC,2021-08-24,,,409.46666666666664,408.0,407.6518338136809
81236,407.0,407.0,407.0,407.0,0,XPLC,2021-08-25,,,409.3666666666667,407.5,407.50698185508514
82091,407.0,407.0,407.0,407.0,0,XPLC,2021-08-26,,,409.26666666666665,407.0,407.39431922062175
82946,406.0,406.0,406.0,406.0,300,XPLC,2021-08-27,,,409.2,406.9,407.08447050492805
83801,407.0,407.0,407.0,407.0,100,XPLC,2021-08-30,,,409.23333333333335,406.9,407.0656992816107
84656,407.0,407.0,407.0,407.0,0,XPLC,2021-08-31,,,409.26666666666665,406.9,407.05109944125275
85512,407.0,407.0,407.0,407.0,0,XPLC,2021-09-01,,,409.3,406.9,407.0397440098632
86368,407.0,407.0,407.0,407.0,0,XPLC,2021-09-02,,,409.3333333333333,406.9,407.0309120076714
87224,407.0,407.0,407.0,407.0,0,XPLC,2021-09-03,417.17,,409.3,406.9,407.0240426726333
88084,407.0,407.0,407.0,407.0,0,XPLC,2021-09-06,416.91,,409.1333333333333,406.9,407.01869985649256
88945,407.0,407.0,407.0,407.0,0,XPLC,2021-09-07,416.65,,408.96666666666664,406.9,407.01454433282754
89812,407.0,407.0,407.0,407.0,0,XPLC,2021-09-08,416.43,,408.8,406.9,407.01131225886587
90680,407.0,407.0,407.0,407.0,0,XPLC,2021-09-09,416.21,,408.6333333333333,406.9,407.0087984235623
91548,407.0,407.0,407.0,407.0,0,XPLC,2021-09-10,415.99,,408.46666666666664,407.0,407.00684321832625
92416,407.0,407.0,407.0,407.0,0,XPLC,2021-09-13,415.77,,408.3,407.0,407.0053225031426
93284,407.0,407.0,407.0,407.0,0,XPLC,2021-09-14,415.55,,408.1333333333333,407.0,407.00413972466646
94152,407.0,407.0,407.0,407.0,0,XPLC,2021-09-15,415.33,,407.96666666666664,407.0,407.0032197858517
95020,407.0,407.0,407.0,407.0,0,XPLC,2021-09-16,415.11,,407.8,407.0,407.00250427788467
95888,407.0,407.0,407.0,407.0,0,XPLC,2021-09-17,414.89,,407.6333333333333,407.0,407.0019477716881
96756,407.0,407.0,407.0,407.0,0,XPLC,2021-09-20,414.67,,407.46666666666664,407.0,407.0015149335352
97625,407.0,407.0,407.0,407.0,0,XPLC,2021-09-21,414.43,,407.3,407.0,407.0011782816385
98494,407.0,407.0,407.0,407.0,0,XPLC,2021-09-22,414.19,,407.1333333333333,407.0,407.0009164412744
99363,407.0,407.0,407.0,407.0,0,XPLC,2021-09-23,413.95,,406.96666666666664,407.0,407.00071278765785
100232,407.0,407.0,407.0,407.0,0,XPLC,2021-09-24,413.71,,406.96666666666664,407.0,407.00055439040057
101100,418.0,418.0,418.0,418.0,100,XPLC,2021-09-27,413.58,,407.3333333333333,408.1,409.4448756369782
101968,418.0,418.0,418.0,418.0,100,XPLC,2021-09-28,413.48,,407.7,409.2,411.3460143843164
102836,418.0,418.0,418.0,418.0,0,XPLC,2021-09-29,413.38,,408.06666666666666,410.3,412.8246778544683
103704,418.0,418.0,418.0,418.0,0,XPLC,2021-09-30,413.28,,408.43333333333334,411.4,413.9747494423642
104571,434.0,431.0,434.0,431.0,400,XPLC,2021-10-01,413.26,,409.23333333333335,413.8,417.7581384551722
105438,440.0,439.0,440.0,439.0,200,XPLC,2021-10-04,413.32,,410.3,417.0,422.4785521318006
106305,439.0,439.0,439.0,439.0,100,XPLC,2021-10-05,413.38,,411.3666666666667,420.2,426.14998499140046
107172,442.0,444.0,444.0,442.0,200,XPLC,2021-10-06,413.49,,412.6,423.9,430.11665499331144
108039,444.0,444.0,444.0,444.0,0,XPLC,2021-10-07,413.6,,413.8333333333333,427.6,433.20184277257556
