,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
822,890.0,890.0,890.0,890.0,0,XPMI,2021-04-01,,,,,
1662,890.0,890.0,890.0,890.0,0,XPMI,2021-04-05,,,,,
2502,890.0,890.0,890.0,890.0,0,XPMI,2021-04-06,,,,,
3344,870.0,870.0,870.0,870.0,100,XPMI,2021-04-07,,,,,
4186,870.0,870.0,870.0,870.0,0,XPMI,2021-04-08,,,,,
5029,870.0,870.0,870.0,870.0,0,XPMI,2021-04-09,,,,,
5873,870.0,870.0,870.0,870.0,500,XPMI,2021-04-12,,,,,
6717,845.0,850.0,850.0,845.0,1600,XPMI,2021-04-13,,,,,875.0
7562,850.0,850.0,850.0,850.0,200,XPMI,2021-04-14,,,,,869.4444444444445
8407,865.0,870.0,870.0,865.0,200,XPMI,2021-04-15,,,,872.0,869.5679012345679
9251,870.0,870.0,870.0,870.0,0,XPMI,2021-04-16,,,,870.0,869.6639231824417
10095,870.0,870.0,870.0,870.0,0,XPMI,2021-04-19,,,,868.0,869.738606919677
10939,870.0,870.0,870.0,870.0,0,XPMI,2021-04-20,,,,866.0,869.7966942708598
11783,870.0,870.0,870.0,870.0,0,XPMI,2021-04-21,,,,866.0,869.8418733217799
12627,870.0,870.0,870.0,870.0,0,XPMI,2021-04-22,,,,866.0,869.8770125836065
13471,870.0,870.0,870.0,870.0,0,XPMI,2021-04-23,,,,866.0,869.9043431205829
14314,870.0,870.0,870.0,870.0,0,XPMI,2021-04-26,,,,866.0,869.9256002048978
15157,870.0,870.0,870.0,870.0,0,XPMI,2021-04-27,,,,868.0,869.9421334926983
16001,870.0,870.0,870.0,870.0,0,XPMI,2021-04-28,,,,870.0,869.9549927165431
16845,870.0,870.0,870.0,870.0,0,XPMI,2021-04-29,,,,870.0,869.964994335089
17689,865.0,860.0,865.0,860.0,1500,XPMI,2021-04-30,,,,869.0,867.7505511495137
18532,860.0,860.0,860.0,860.0,0,XPMI,2021-05-03,,,,868.0,866.0282064496218
19375,860.0,860.0,860.0,860.0,0,XPMI,2021-05-04,,,,867.0,864.6886050163725
20219,862.0,865.0,865.0,855.0,3900,XPMI,2021-05-05,,,,866.5,864.7578039016231
21063,860.0,860.0,860.0,860.0,300,XPMI,2021-05-06,,,,865.5,863.7005141457068
21907,860.0,860.0,860.0,860.0,0,XPMI,2021-05-07,,,,864.5,862.8781776688832
22750,845.0,845.0,845.0,845.0,200,XPMI,2021-05-10,,,,862.0,858.9052492980202
23593,847.0,847.0,847.0,847.0,2600,XPMI,2021-05-11,,,,859.7,856.2596383429046
24433,847.0,847.0,847.0,847.0,0,XPMI,2021-05-17,,,,857.4,854.2019409333702
25273,840.0,840.0,840.0,840.0,300,XPMI,2021-05-18,,,865.4666666666667,854.4,851.045954059288
26113,840.0,835.0,840.0,835.0,800,XPMI,2021-05-19,,,863.6333333333333,851.9,847.4801864905573
27837,835.0,835.0,835.0,835.0,0,XPMI,2021-05-21,,,861.8,849.4,844.706811714878
28679,835.0,835.0,835.0,835.0,0,XPMI,2021-05-24,,,859.9666666666667,846.9,842.5497424449051
30312,845.0,845.0,845.0,845.0,100,XPMI,2021-05-27,,,859.1333333333333,844.9,843.0942441238151
31154,845.0,845.0,845.0,845.0,0,XPMI,2021-05-28,,,858.3,843.4,843.5177454296339
31996,845.0,845.0,845.0,845.0,0,XPMI,2021-05-31,,,857.4666666666667,841.9,843.8471353341597
32838,845.0,845.0,845.0,845.0,0,XPMI,2021-06-02,,,856.6333333333333,841.9,844.1033274821242
33679,875.0,875.0,875.0,875.0,100,XPMI,2021-06-03,,,857.4666666666667,844.7,850.9692547083188
34520,875.0,875.0,875.0,875.0,0,XPMI,2021-06-04,,,858.3,847.5,856.3094203286923
35361,880.0,880.0,880.0,880.0,100,XPMI,2021-06-07,,,858.6333333333333,851.5,861.573993588983
36204,880.0,875.0,880.0,875.0,1000,XPMI,2021-06-08,,,858.8,855.5,864.557550569209
37047,875.0,875.0,875.0,875.0,0,XPMI,2021-06-09,,,858.9666666666667,859.5,866.8780948871625
37894,875.0,875.0,875.0,875.0,0,XPMI,2021-06-10,,,859.1333333333333,863.5,868.6829626900153
38741,885.0,885.0,885.0,885.0,400,XPMI,2021-06-11,,,859.6333333333333,867.5,872.308970981123
39588,885.0,885.0,885.0,885.0,0,XPMI,2021-06-14,,,860.1333333333333,871.5,875.1291996519845
