,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
823,377.0,377.0,377.0,377.0,0,XPSG,2021-04-01,,,,,
1663,377.0,377.0,377.0,377.0,0,XPSG,2021-04-05,,,,,
2503,377.0,377.0,377.0,377.0,100,XPSG,2021-04-06,,,,,
3345,377.0,377.0,377.0,377.0,0,XPSG,2021-04-07,,,,,
4187,377.0,377.0,377.0,377.0,0,XPSG,2021-04-08,,,,,
5030,377.0,377.0,377.0,377.0,100,XPSG,2021-04-09,,,,,
5874,377.0,377.0,377.0,377.0,0,XPSG,2021-04-12,,,,,
6718,377.0,377.0,377.0,377.0,0,XPSG,2021-04-13,,,,,377.0
7563,377.0,377.0,377.0,377.0,0,XPSG,2021-04-14,,,,,377.0
8408,377.0,377.0,377.0,377.0,0,XPSG,2021-04-15,,,,377.0,377.0
9252,377.0,377.0,377.0,377.0,0,XPSG,2021-04-16,,,,377.0,377.0
10096,375.0,369.0,375.0,369.0,400,XPSG,2021-04-19,,,,376.2,375.22222222222223
10940,369.0,369.0,369.0,369.0,0,XPSG,2021-04-20,,,,375.4,373.8395061728395
11784,369.0,369.0,369.0,369.0,0,XPSG,2021-04-21,,,,374.6,372.7640603566529
12628,369.0,369.0,369.0,369.0,0,XPSG,2021-04-22,,,,373.8,371.92760249961896
13472,369.0,369.0,369.0,369.0,100,XPSG,2021-04-23,,,,373.0,371.2770241663703
14315,369.0,369.0,369.0,369.0,0,XPSG,2021-04-26,,,,372.2,370.7710187960658
15158,369.0,369.0,369.0,369.0,0,XPSG,2021-04-27,,,,371.4,370.37745906360675
16002,369.0,369.0,369.0,369.0,0,XPSG,2021-04-28,,,,370.6,370.07135704947194
16846,369.0,369.0,369.0,369.0,0,XPSG,2021-04-29,,,,369.8,369.83327770514484
17690,369.0,369.0,369.0,369.0,0,XPSG,2021-04-30,,,,369.0,369.6481048817793
18533,369.0,369.0,369.0,369.0,0,XPSG,2021-05-03,,,,369.0,369.50408157471725
