,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
121879,412.0,412.0,412.0,412.0,0,XPTD,2020-07-01,,,,,
129300,412.0,412.0,412.0,412.0,0,XPTD,2020-07-02,,,,,
102974,412.0,412.0,412.0,412.0,0,XPTD,2020-07-03,,,,,
85668,414.0,414.0,414.0,414.0,3000,XPTD,2020-07-06,,,,,
34568,414.0,414.0,414.0,414.0,0,XPTD,2020-07-07,,,,,
48579,414.0,414.0,414.0,414.0,0,XPTD,2020-07-08,,,,,
115306,414.0,414.0,414.0,414.0,0,XPTD,2020-07-09,,,,,
23863,414.0,414.0,414.0,414.0,0,XPTD,2020-07-10,,,,,413.25
15627,414.0,414.0,414.0,414.0,0,XPTD,2020-07-13,,,,,413.4166666666667
32105,416.0,416.0,416.0,416.0,1000,XPTD,2020-07-14,,,,413.6,413.99074074074076
90608,416.0,416.0,416.0,416.0,0,XPTD,2020-07-15,,,,414.0,414.4372427983539
22218,416.0,416.0,416.0,416.0,0,XPTD,2020-07-16,,,,414.4,414.7845221764975
105414,416.0,416.0,416.0,416.0,0,XPTD,2020-07-17,,,,414.8,415.05462835949805
79084,416.0,416.0,416.0,416.0,0,XPTD,2020-07-20,,,,415.0,415.26471094627624
103787,416.0,416.0,416.0,416.0,0,XPTD,2020-07-21,,,,415.2,415.4281085137704
94730,416.0,416.0,416.0,416.0,0,XPTD,2020-07-22,,,,415.4,415.5551955107103
9038,416.0,416.0,416.0,416.0,0,XPTD,2020-07-23,,,,415.6,415.65404095277466
102165,416.0,416.0,416.0,416.0,0,XPTD,2020-07-24,,,,415.8,415.730920741047
55995,416.0,416.0,416.0,416.0,0,XPTD,2020-07-27,,,,416.0,415.7907161319254
41986,416.0,416.0,416.0,416.0,0,XPTD,2020-07-28,,,,416.0,415.8372236581642
112018,416.0,416.0,416.0,416.0,0,XPTD,2020-07-29,,,,416.0,415.87339617857214
81538,416.0,416.0,416.0,416.0,0,XPTD,2020-07-30,,,,416.0,415.90153036111167
118604,416.0,416.0,416.0,416.0,0,XPTD,2020-08-03,,,,416.0,415.92341250308687
7401,416.0,416.0,416.0,416.0,0,XPTD,2020-08-04,,,,416.0,415.94043194684537
54351,416.0,416.0,416.0,416.0,0,XPTD,2020-08-05,,,,416.0,415.9536692919908
70842,416.0,416.0,416.0,416.0,0,XPTD,2020-08-06,,,,416.0,415.96396500488174
44458,416.0,416.0,416.0,416.0,0,XPTD,2020-08-07,,,,416.0,415.97197278157466
99689,416.0,416.0,416.0,416.0,0,XPTD,2020-08-10,,,,416.0,415.97820105233586
53538,416.0,416.0,416.0,416.0,0,XPTD,2020-08-11,,,,416.0,415.9830452629279
121070,416.0,416.0,416.0,416.0,0,XPTD,2020-08-12,,,415.2,416.0,415.98681298227723
63419,416.0,416.0,416.0,416.0,0,XPTD,2020-08-13,,,415.3333333333333,416.0,415.98974343066004
88156,416.0,416.0,416.0,416.0,0,XPTD,2020-08-14,,,415.46666666666664,416.0,415.99202266829116
61775,416.0,416.0,416.0,416.0,0,XPTD,2020-08-18,,,415.6,416.0,415.9937954086709
89797,416.0,416.0,416.0,416.0,0,XPTD,2020-08-19,,,415.6666666666667,416.0,415.995174206744
10689,416.0,416.0,416.0,416.0,0,XPTD,2020-08-24,,,415.73333333333335,416.0,415.99624660524535
130116,416.0,416.0,416.0,416.0,0,XPTD,2020-08-25,,,415.8,416.0,415.9970806929686
104603,416.0,416.0,416.0,416.0,0,XPTD,2020-08-26,,,415.8666666666667,416.0,415.9977294278645
4110,416.0,416.0,416.0,416.0,0,XPTD,2020-08-27,,,415.93333333333334,416.0,415.9982339994502
79900,416.0,416.0,416.0,416.0,0,XPTD,2020-08-28,,,416.0,416.0,415.9986264440168
27990,416.0,416.0,416.0,416.0,0,XPTD,2020-08-31,,,416.0,416.0,415.99893167867975
35385,416.0,416.0,416.0,416.0,0,XPTD,2020-09-01,,,416.0,416.0,415.9991690834176
39523,416.0,416.0,416.0,416.0,0,XPTD,2020-09-02,,,416.0,416.0,415.99935373154705
69192,416.0,416.0,416.0,416.0,0,XPTD,2020-09-03,,,416.0,416.0,415.9994973467588
13166,416.0,416.0,416.0,416.0,0,XPTD,2020-09-04,,,416.0,416.0,415.99960904747905
27173,416.0,416.0,416.0,416.0,0,XPTD,2020-09-07,,,416.0,416.0,415.99969592581704
108720,416.0,416.0,416.0,416.0,0,XPTD,2020-09-08,,,416.0,416.0,415.9997634978577
122701,416.0,416.0,416.0,416.0,0,XPTD,2020-09-09,,,416.0,416.0,415.99981605388933
8225,416.0,416.0,416.0,416.0,0,XPTD,2020-09-10,,,416.0,416.0,415.9998569308028
18102,416.0,416.0,416.0,416.0,0,XPTD,2020-09-11,,,416.0,416.0,415.9998887239577
45284,416.0,416.0,416.0,416.0,0,XPTD,2020-09-14,,,416.0,416.0,415.99991345196713
66725,440.0,440.0,440.0,440.0,100,XPTD,2020-09-15,,,416.8,418.4,421.33326601819664
1639,440.0,440.0,440.0,440.0,0,XPTD,2020-09-16,,,417.6,420.8,425.48142912526407
56823,440.0,440.0,440.0,440.0,0,XPTD,2020-09-17,,,418.4,423.2,428.70777820853874
62603,426.0,426.0,426.0,426.0,200,XPTD,2020-09-18,,,418.73333333333335,424.2,428.10604971775234
72495,426.0,426.0,426.0,426.0,0,XPTD,2020-09-21,,,419.06666666666666,425.2,427.6380386693629
100517,426.0,426.0,426.0,426.0,0,XPTD,2020-09-22,,,419.4,426.2,427.27403007617113
77447,418.0,418.0,418.0,418.0,500,XPTD,2020-09-23,,,419.46666666666664,426.4,425.21313450368865
65897,418.0,418.0,418.0,418.0,0,XPTD,2020-09-24,,,419.53333333333336,426.6,423.61021572509117
97217,418.0,418.0,418.0,418.0,0,XPTD,2020-09-25,,,419.6,426.8,422.3635011195154
60133,418.0,418.0,418.0,418.0,0,XPTD,2020-09-28,,,419.6666666666667,427.0,421.3938342040675
16453,418.0,418.0,418.0,418.0,0,XPTD,2020-09-29,,,419.73333333333335,424.8,420.63964882538585
84858,418.0,418.0,418.0,418.0,0,XPTD,2020-09-30,,,419.8,422.6,420.0530601975223
92258,400.0,400.0,400.0,400.0,300,XPTD,2020-10-01,,,419.26666666666665,418.6,415.5968245980729
68375,400.0,400.0,400.0,400.0,0,XPTD,2020-10-02,,,418.73333333333335,416.0,412.1308635762789
12349,406.0,406.0,406.0,406.0,100,XPTD,2020-10-05,,,418.4,414.0,410.7684494482169
120254,406.0,406.0,406.0,406.0,0,XPTD,2020-10-06,,,418.06666666666666,412.0,409.7087940152798
21407,406.0,406.0,406.0,406.0,0,XPTD,2020-10-07,,,417.73333333333335,410.8,408.8846175674399
19751,406.0,406.0,406.0,406.0,0,XPTD,2020-10-08,,,417.4,409.6,408.2435914413421
110380,406.0,406.0,406.0,406.0,0,XPTD,2020-10-09,,,417.06666666666666,408.4,407.7450155654883
28815,406.0,406.0,406.0,406.0,0,XPTD,2020-10-12,,,416.73333333333335,407.2,407.3572343287131
76620,406.0,406.0,406.0,406.0,0,XPTD,2020-10-13,,,416.4,406.0,407.05562670011017
107069,406.0,406.0,406.0,406.0,0,XPTD,2020-10-14,,,416.06666666666666,404.8,406.82104298897457
14816,406.0,406.0,406.0,406.0,0,XPTD,2020-10-15,,,415.73333333333335,405.4,406.6385889914247
5764,406.0,406.0,406.0,406.0,0,XPTD,2020-10-16,,,415.4,406.0,406.49668032666364
811,406.0,406.0,406.0,406.0,0,XPTD,2020-10-19,,,415.06666666666666,406.0,406.3863069207384
125185,406.0,406.0,406.0,406.0,0,XPTD,2020-10-20,,,414.73333333333335,406.0,406.30046093835205
74970,406.0,406.0,406.0,406.0,0,XPTD,2020-10-21,,,414.4,406.0,406.2336918409405
30470,406.0,406.0,406.0,406.0,0,XPTD,2020-10-22,,,414.06666666666666,406.0,406.1817603207315
32930,422.0,422.0,422.0,422.0,800,XPTD,2020-10-23,,,414.26666666666665,407.6,409.69692469390225
57648,422.0,422.0,422.0,422.0,0,XPTD,2020-10-26,,,414.46666666666664,409.2,412.43094142859064
52722,422.0,422.0,422.0,422.0,0,XPTD,2020-10-27,,,413.8666666666667,410.8,414.55739888890383
88981,422.0,422.0,422.0,422.0,0,XPTD,2020-11-02,,,413.26666666666665,412.4,416.2113102469252
84032,422.0,422.0,422.0,422.0,0,XPTD,2020-11-03,,,412.6666666666667,414.0,417.4976857476085
6588,422.0,422.0,422.0,422.0,0,XPTD,2020-11-04,,,412.53333333333336,415.6,418.4982000259177
18926,422.0,422.0,422.0,422.0,0,XPTD,2020-11-05,,,412.4,417.2,419.276377797936
42810,422.0,422.0,422.0,422.0,0,XPTD,2020-11-06,,,412.26666666666665,418.8,419.88162717617246
91432,422.0,422.0,422.0,422.0,0,XPTD,2020-11-09,,,412.4,420.4,420.35237669257856
2463,422.0,422.0,422.0,422.0,0,XPTD,2020-11-10,,,412.53333333333336,422.0,420.71851520533886
24687,450.0,452.0,452.0,450.0,2000,XPTD,2020-11-11,,,413.6666666666667,425.0,427.6699562708191
78271,452.0,452.0,452.0,452.0,0,XPTD,2020-11-12,,,414.8,428.0,433.07663265508154
75795,452.0,452.0,452.0,452.0,0,XPTD,2020-11-13,,,415.93333333333334,431.0,437.28182539839673
74145,452.0,452.0,452.0,452.0,0,XPTD,2020-11-16,,,417.06666666666666,434.0,440.55253086541967
40348,452.0,452.0,452.0,452.0,0,XPTD,2020-11-17,,,418.8,437.0,443.0964128953264
17278,452.0,452.0,452.0,452.0,0,XPTD,2020-11-18,,,420.53333333333336,440.0,445.0749878074761
67550,452.0,452.0,452.0,452.0,0,XPTD,2020-11-19,,,422.06666666666666,443.0,446.6138794058147
80725,478.0,478.0,478.0,478.0,200,XPTD,2020-11-20,,,424.46666666666664,448.6,453.5885728711892
71667,478.0,478.0,478.0,478.0,100,XPTD,2020-11-23,,,426.8666666666667,454.2,459.0133344553694
112843,478.0,478.0,478.0,478.0,0,XPTD,2020-11-24,,,429.26666666666665,459.8,463.23259346528727
119429,478.0,478.0,478.0,478.0,0,XPTD,2020-11-25,,,431.6666666666667,462.4,466.5142393618901
59307,484.0,484.0,484.0,484.0,200,XPTD,2020-11-26,421.46,,434.26666666666665,465.6,470.3999639481367
13991,484.0,484.0,484.0,484.0,0,XPTD,2020-11-27,422.18,,436.8666666666667,468.8,473.4221941818841
117791,484.0,484.0,484.0,484.0,100,XPTD,2020-11-30,422.9,,439.46666666666664,472.0,475.77281769702097
114494,484.0,484.0,484.0,484.0,0,XPTD,2020-12-01,423.62,,442.06666666666666,475.2,477.6010804310163
116966,484.0,484.0,484.0,484.0,0,XPTD,2020-12-02,424.32,,444.6666666666667,478.4,479.02306255745714
38706,484.0,484.0,484.0,484.0,0,XPTD,2020-12-03,425.02,,447.26666666666665,481.6,480.1290486558
31294,496.0,496.0,496.0,496.0,100,XPTD,2020-12-04,425.84,,450.26666666666665,483.4,483.6559267322889
46938,496.0,496.0,496.0,496.0,0,XPTD,2020-12-07,426.66,,453.26666666666665,485.2,486.3990541251136
93083,496.0,500.0,500.0,496.0,1400,XPTD,2020-12-08,427.52,,456.4,487.4,489.42148654175503
126839,500.0,500.0,500.0,500.0,0,XPTD,2020-12-10,428.38,,459.0,489.6,491.77226731025394
41173,498.0,498.0,498.0,498.0,100,XPTD,2020-12-11,429.2,,461.53333333333336,491.0,493.1562079079753
73320,498.0,498.0,498.0,498.0,0,XPTD,2020-12-14,430.02,,464.06666666666666,492.4,494.2326061506474
111205,498.0,498.0,498.0,498.0,0,XPTD,2020-12-15,430.84,,466.6,493.8,495.0698047838369
128491,498.0,498.0,498.0,498.0,0,XPTD,2020-12-16,431.66,,469.1333333333333,495.2,495.7209592763176
64244,498.0,498.0,498.0,498.0,0,XPTD,2020-12-17,432.48,,471.6666666666667,496.6,496.22741277046924
98873,498.0,498.0,498.0,498.0,0,XPTD,2020-12-18,433.3,,474.2,498.0,496.6213210436983
