,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
124384,750.0,750.0,750.0,750.0,0,XSPI,2020-07-01,,,,,
131805,750.0,750.0,750.0,750.0,0,XSPI,2020-07-02,,,,,
105479,750.0,750.0,750.0,750.0,0,XSPI,2020-07-03,,,,,
87339,750.0,750.0,750.0,750.0,0,XSPI,2020-07-06,,,,,
34571,750.0,750.0,750.0,750.0,0,XSPI,2020-07-07,,,,,
49416,750.0,750.0,750.0,750.0,0,XSPI,2020-07-08,,,,,
117811,750.0,750.0,750.0,750.0,0,XSPI,2020-07-09,,,,,
23866,750.0,750.0,750.0,750.0,0,XSPI,2020-07-10,,,,,750.0
15630,750.0,750.0,750.0,750.0,0,XSPI,2020-07-13,,,,,750.0
32108,750.0,750.0,750.0,750.0,0,XSPI,2020-07-14,,,,750.0,750.0
93113,750.0,750.0,750.0,750.0,0,XSPI,2020-07-15,,,,750.0,750.0
22221,750.0,750.0,750.0,750.0,0,XSPI,2020-07-16,,,,750.0,750.0
107919,750.0,750.0,750.0,750.0,0,XSPI,2020-07-17,,,,750.0,750.0
80755,750.0,750.0,750.0,750.0,0,XSPI,2020-07-20,,,,750.0,750.0
106292,750.0,750.0,750.0,750.0,0,XSPI,2020-07-21,,,,750.0,750.0
97235,750.0,750.0,750.0,750.0,0,XSPI,2020-07-22,,,,750.0,750.0
9041,750.0,750.0,750.0,750.0,0,XSPI,2020-07-23,,,,750.0,750.0
104670,750.0,750.0,750.0,750.0,0,XSPI,2020-07-24,,,,750.0,750.0
57666,750.0,750.0,750.0,750.0,0,XSPI,2020-07-27,,,,750.0,750.0
41989,750.0,750.0,750.0,750.0,0,XSPI,2020-07-28,,,,750.0,750.0
114523,750.0,750.0,750.0,750.0,0,XSPI,2020-07-29,,,,750.0,750.0
83209,750.0,750.0,750.0,750.0,0,XSPI,2020-07-30,,,,750.0,750.0
121109,750.0,750.0,750.0,750.0,0,XSPI,2020-08-03,,,,750.0,750.0
