,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
126889,545.0,545.0,545.0,545.0,0,XSSK,2020-07-01,,,,,
134310,553.0,553.0,553.0,553.0,100,XSSK,2020-07-02,,,,,
107984,553.0,553.0,553.0,553.0,0,XSSK,2020-07-03,,,,,
89844,553.0,553.0,553.0,553.0,0,XSSK,2020-07-06,,,,,
34574,553.0,553.0,553.0,553.0,0,XSSK,2020-07-07,,,,,
51921,575.0,575.0,575.0,575.0,100,XSSK,2020-07-08,,,,,
120316,580.0,569.0,580.0,569.0,5100,XSSK,2020-07-09,,,,,
23869,571.0,569.0,571.0,569.0,200,XSSK,2020-07-10,,,,,558.75
15633,569.0,569.0,569.0,569.0,0,XSSK,2020-07-13,,,,,561.0277777777778
32111,569.0,569.0,569.0,569.0,0,XSSK,2020-07-14,,,,560.8,562.7993827160494
95618,569.0,569.0,569.0,569.0,0,XSSK,2020-07-15,,,,563.2,564.1772976680385
22224,569.0,569.0,569.0,569.0,0,XSSK,2020-07-16,,,,564.8,565.2490092973633
110424,569.0,569.0,569.0,569.0,0,XSSK,2020-07-17,,,,566.4,566.0825627868381
83260,569.0,569.0,569.0,569.0,0,XSSK,2020-07-20,,,,568.0,566.7308821675408
108797,576.0,576.0,576.0,576.0,100,XSSK,2020-07-21,,,,570.3,568.7906861303095
99740,576.0,576.0,576.0,576.0,0,XSSK,2020-07-22,,,,570.4,570.3927558791296
9044,576.0,576.0,576.0,576.0,0,XSSK,2020-07-23,,,,571.1,571.638810128212
107175,576.0,576.0,576.0,576.0,0,XSSK,2020-07-24,,,,571.8,572.6079634330538
60171,576.0,576.0,576.0,576.0,0,XSSK,2020-07-27,,,,572.5,573.3617493368196
43660,576.0,576.0,576.0,576.0,0,XSSK,2020-07-28,,,,573.2,573.9480272619708
117028,576.0,576.0,576.0,576.0,0,XSSK,2020-07-29,,,,573.9,574.4040212037551
85714,576.0,576.0,576.0,576.0,0,XSSK,2020-07-30,,,,574.6,574.7586831584762
123614,561.0,561.0,561.0,561.0,100,XSSK,2020-08-03,,,,573.8,571.7011980121481
7407,572.0,567.0,572.0,567.0,2100,XSSK,2020-08-04,,,,573.6,570.6564873427818
58527,563.0,576.0,576.0,563.0,20100,XSSK,2020-08-05,,,,573.6,571.8439345999415
75018,576.0,583.0,583.0,576.0,5100,XSSK,2020-08-06,,,,574.3,574.3230602443989
46966,579.0,579.0,579.0,579.0,100,XSSK,2020-08-07,,,,574.6,575.3623801900881
104699,583.0,578.0,583.0,578.0,10100,XSSK,2020-08-10,,,,574.8,575.9485179256241
57714,583.0,583.0,583.0,583.0,100,XSSK,2020-08-11,,,,575.5,577.5155139421521
126080,583.0,583.0,583.0,583.0,0,XSSK,2020-08-12,,,570.0666666666667,576.2,578.7342886216738
67595,594.0,594.0,594.0,594.0,100,XSSK,2020-08-13,,,571.7,578.0,582.1266689279686
93166,594.0,594.0,594.0,594.0,0,XSSK,2020-08-14,,,573.0666666666667,579.8,584.7651869439756
65951,594.0,594.0,594.0,594.0,0,XSSK,2020-08-18,,,574.4333333333333,583.1,586.8173676230921
94807,600.0,600.0,600.0,600.0,2000,XSSK,2020-08-19,,,576.0,586.4,589.7468414846272
10695,606.0,601.0,606.0,601.0,500,XSSK,2020-08-24,,,577.6,588.9,592.2475433769323
135126,613.0,613.0,613.0,613.0,100,XSSK,2020-08-25,,,578.8666666666667,591.9,596.8592004042807
109613,613.0,613.0,613.0,613.0,0,XSSK,2020-08-26,,,580.3333333333334,595.3,600.446044758885
4116,613.0,613.0,613.0,613.0,0,XSSK,2020-08-27,,,581.8,598.8,603.2358125902439
84076,613.0,613.0,613.0,613.0,0,XSSK,2020-08-28,,,583.2666666666667,601.8,605.4056320146341
27996,597.0,597.0,597.0,597.0,100,XSSK,2020-08-31,,,584.2,603.2,603.5377137891599
35391,597.0,597.0,597.0,597.0,0,XSSK,2020-09-01,,,585.1333333333333,603.5,602.0848885026799
39529,597.0,597.0,597.0,597.0,0,XSSK,2020-09-02,,,586.0666666666667,603.8,600.9549132798621
73368,597.0,597.0,597.0,597.0,0,XSSK,2020-09-03,,,587.0,604.1,600.076043662115
13172,597.0,597.0,597.0,597.0,0,XSSK,2020-09-04,,,587.9333333333333,603.8,599.3924784038672
27179,597.0,597.0,597.0,597.0,0,XSSK,2020-09-07,,,588.6333333333333,603.4,598.8608165363412
113730,597.0,597.0,597.0,597.0,0,XSSK,2020-09-08,,,589.3333333333334,601.8,598.4473017504876
127711,583.0,583.0,583.0,583.0,100,XSSK,2020-09-09,,,589.5666666666667,598.8,595.014568028157
8231,550.0,550.0,550.0,550.0,100,XSSK,2020-09-10,,,588.7,592.5,585.0113306885665
18108,561.0,561.0,561.0,561.0,100,XSSK,2020-09-11,,,588.2,587.3,579.6754794244406
47792,561.0,561.0,561.0,561.0,0,XSSK,2020-09-14,,,587.7,583.7,575.525372885676
70901,570.0,570.0,570.0,570.0,100,XSSK,2020-09-15,,,587.5,581.0,574.2975122444146
1645,562.0,562.0,562.0,562.0,100,XSSK,2020-09-16,,,587.0333333333333,577.5,571.5647317456559
60999,554.0,554.0,554.0,554.0,100,XSSK,2020-09-17,,,586.8,573.2,567.661458024399
66779,562.0,559.0,562.0,559.0,200,XSSK,2020-09-18,,,586.5333333333333,569.4,565.7366895745326
76671,548.0,548.0,548.0,548.0,100,XSSK,2020-09-21,,,585.6,564.5,561.7952030024143
105527,548.0,548.0,548.0,548.0,0,XSSK,2020-09-22,,,584.4333333333333,559.6,558.7296023352111
81623,533.0,533.0,533.0,533.0,100,XSSK,2020-09-23,,,582.9,554.6,553.0119129273864
70073,533.0,533.0,533.0,533.0,0,XSSK,2020-09-24,,,581.4,552.9,548.564821165745
102227,543.0,543.0,543.0,543.0,100,XSSK,2020-09-25,,,580.0666666666667,551.1,547.3281942400239
64309,538.0,538.0,538.0,538.0,100,XSSK,2020-09-28,,,578.5666666666667,548.8,545.2552621866853
16459,529.0,529.0,529.0,529.0,100,XSSK,2020-09-29,,,576.4,544.7,541.6429817007552
89034,529.0,529.0,529.0,529.0,0,XSSK,2020-09-30,,,574.2333333333333,541.4,538.8334302116984
97268,541.0,541.0,541.0,541.0,100,XSSK,2020-10-01,,,572.4666666666667,540.1,539.3148901646543
72551,536.0,536.0,536.0,536.0,100,XSSK,2020-10-02,,,570.3333333333334,537.8,538.5782479058423
12355,542.0,542.0,542.0,542.0,100,XSSK,2020-10-05,,,568.3666666666667,537.2,539.3386372600996
125264,547.0,547.0,547.0,547.0,100,XSSK,2020-10-06,,,566.1666666666666,537.1,541.0411623134108
21413,547.0,547.0,547.0,547.0,0,XSSK,2020-10-07,,,563.9666666666667,538.5,542.3653484659862
19757,547.0,547.0,547.0,547.0,0,XSSK,2020-10-08,,,561.7666666666667,539.9,543.3952710291004
115390,547.0,547.0,547.0,547.0,0,XSSK,2020-10-09,,,559.5666666666667,540.3,544.1963219115225
28821,547.0,547.0,547.0,547.0,0,XSSK,2020-10-12,,,557.9,541.2,544.8193614867398
80796,547.0,547.0,547.0,547.0,0,XSSK,2020-10-13,,,556.2333333333333,543.0,545.3039478230198
112079,547.0,547.0,547.0,547.0,0,XSSK,2020-10-14,,,554.5666666666667,544.8,545.6808483067932
14822,558.0,558.0,558.0,558.0,100,XSSK,2020-10-15,,,553.2666666666667,546.5,548.4184375719503
5770,558.0,558.0,558.0,558.0,0,XSSK,2020-10-16,,,551.9666666666667,548.7,550.5476736670724
817,558.0,558.0,558.0,558.0,0,XSSK,2020-10-19,,,550.6666666666666,550.3,552.2037461855008
130195,558.0,558.0,558.0,558.0,0,XSSK,2020-10-20,,,549.3666666666667,551.4,553.4918025887229
79146,558.0,558.0,558.0,558.0,0,XSSK,2020-10-21,,,548.5333333333333,552.5,554.4936242356733
30476,558.0,558.0,558.0,558.0,0,XSSK,2020-10-22,,,548.8,553.6,555.2728188499682
32936,558.0,558.0,558.0,558.0,0,XSSK,2020-10-23,,,548.7,554.7,555.8788591055309
61824,567.0,567.0,567.0,567.0,100,XSSK,2020-10-26,,,548.9,556.7,558.3502237487462
56898,567.0,562.0,567.0,562.0,200,XSSK,2020-10-27,,,548.6333333333333,558.2,559.1612851379138
93991,550.0,558.0,558.0,550.0,200,XSSK,2020-11-02,,,548.5,559.3,558.903221773933
88208,565.0,565.0,565.0,565.0,100,XSSK,2020-11-03,,,548.8666666666667,560.0,560.2580613797256
6594,559.0,559.0,559.0,559.0,100,XSSK,2020-11-04,,,548.8666666666667,560.1,559.9784921842311
18932,582.0,582.0,582.0,582.0,100,XSSK,2020-11-05,,,550.0,562.5,564.8721605877353
45318,595.0,595.0,595.0,595.0,100,XSSK,2020-11-06,,,551.5666666666667,566.2,571.567236012683
96442,595.0,595.0,595.0,595.0,0,XSSK,2020-11-09,,,553.6333333333333,569.9,576.7745168987534
2469,617.0,617.0,617.0,617.0,100,XSSK,2020-11-10,,,556.4333333333333,575.8,585.7135131434749
24693,627.0,627.0,627.0,627.0,100,XSSK,2020-11-11,,,559.2333333333333,582.7,594.8882880004804
82447,625.0,618.0,625.0,618.0,1800,XSSK,2020-11-12,,,561.9,587.8,600.0242240003737
79971,618.0,618.0,618.0,618.0,0,XSSK,2020-11-13,,,564.8666666666667,593.4,604.0188408891795
78321,618.0,618.0,618.0,618.0,0,XSSK,2020-11-16,,,567.8333333333334,599.4,607.1257651360285
41188,618.0,618.0,618.0,618.0,0,XSSK,2020-11-17,,,570.4,604.7,609.5422617724665
17284,628.0,628.0,628.0,628.0,1700,XSSK,2020-11-18,,,573.4666666666667,611.6,613.6439813785851
71726,633.0,633.0,633.0,633.0,100,XSSK,2020-11-19,,,576.5,616.7,617.9453188500106
84901,633.0,633.0,633.0,633.0,0,XSSK,2020-11-20,,,579.3666666666667,620.5,621.2908035500083
75843,639.0,639.0,639.0,639.0,100,XSSK,2020-11-23,,,582.4333333333333,624.9,625.2261805388953
117853,639.0,639.0,639.0,639.0,0,XSSK,2020-11-24,,,585.5,627.1,628.2870293080297
124439,639.0,639.0,639.0,639.0,0,XSSK,2020-11-25,,,588.5666666666667,628.3,630.6676894618008
63483,648.0,648.0,648.0,648.0,100,XSSK,2020-11-26,576.29,,591.9333333333333,631.3,634.5193140258451
13997,648.0,648.0,648.0,648.0,0,XSSK,2020-11-27,577.32,,595.3,634.3,637.5150220201018
122801,644.0,644.0,644.0,644.0,1200,XSSK,2020-11-30,578.23,,598.5333333333333,636.9,638.956128237857
119504,637.0,637.0,637.0,637.0,100,XSSK,2020-12-01,579.07,,601.1666666666666,638.8,638.5214330738888
121976,644.0,644.0,644.0,644.0,100,XSSK,2020-12-02,579.98,,604.0333333333333,640.4,639.7388923908024
38712,644.0,644.0,644.0,644.0,0,XSSK,2020-12-03,580.89,,606.9,641.5,640.6858051928464
31300,644.0,644.0,644.0,644.0,0,XSSK,2020-12-04,581.58,,609.7666666666667,642.6,641.4222929277694
50280,656.0,656.0,656.0,656.0,100,XSSK,2020-12-07,582.45,,613.0333333333333,644.3,644.6617833882651
98093,656.0,656.0,656.0,656.0,0,XSSK,2020-12-08,583.32,,616.3,646.0,647.1813870797617
131849,656.0,656.0,656.0,656.0,0,XSSK,2020-12-10,584.19,,619.5666666666667,647.7,649.1410788398147
