,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
121058,416.0,416.0,416.0,416.0,77200,ZONE,2020-07-01,,,,,
128479,416.0,418.0,418.0,416.0,56100,ZONE,2020-07-02,,,,,
102153,418.0,418.0,418.0,414.0,86100,ZONE,2020-07-03,,,,,
84847,418.0,420.0,420.0,416.0,139500,ZONE,2020-07-06,,,,,
34581,420.0,422.0,422.0,416.0,131800,ZONE,2020-07-07,,,,,
47758,418.0,420.0,422.0,414.0,97100,ZONE,2020-07-08,,,,,
114485,420.0,414.0,420.0,414.0,94300,ZONE,2020-07-09,,,,,
23876,414.0,416.0,416.0,414.0,43900,ZONE,2020-07-10,,,,,418.0
15640,416.0,418.0,418.0,416.0,63200,ZONE,2020-07-13,,,,,418.0
32118,414.0,416.0,416.0,414.0,93100,ZONE,2020-07-14,,,,417.8,417.55555555555554
89787,416.0,418.0,418.0,416.0,104800,ZONE,2020-07-15,,,,418.0,417.65432098765433
22231,416.0,416.0,416.0,416.0,99600,ZONE,2020-07-16,,,,417.8,417.28669410150894
104593,416.0,416.0,416.0,416.0,70400,ZONE,2020-07-17,,,,417.6,417.0007620789514
78263,412.0,416.0,416.0,412.0,76200,ZONE,2020-07-20,,,,417.2,416.7783705058511
102966,416.0,416.0,416.0,408.0,78900,ZONE,2020-07-21,,,,416.6,416.6053992823286
93909,416.0,416.0,416.0,412.0,78500,ZONE,2020-07-22,,,,416.2,416.4708661084778
9051,416.0,416.0,416.0,414.0,68600,ZONE,2020-07-23,,,,416.4,416.36622919548273
101344,416.0,416.0,416.0,414.0,61900,ZONE,2020-07-24,,,,416.4,416.2848449298199
55174,416.0,416.0,416.0,414.0,54000,ZONE,2020-07-27,,,,416.2,416.22154605652656
41999,416.0,416.0,416.0,416.0,26100,ZONE,2020-07-28,,,,416.2,416.17231359952063
111197,416.0,416.0,416.0,414.0,64500,ZONE,2020-07-29,,,,416.0,416.13402168851604
80717,416.0,416.0,416.0,414.0,61500,ZONE,2020-07-30,,,,416.0,416.10423909106805
117783,416.0,416.0,416.0,412.0,69000,ZONE,2020-08-03,,,,416.0,416.08107484860847
7414,416.0,412.0,416.0,412.0,62400,ZONE,2020-08-04,,,,415.6,415.17416932669545
53530,408.0,404.0,408.0,404.0,19200,ZONE,2020-08-05,,,,414.4,412.6910205874298
70021,400.0,408.0,408.0,390.0,95100,ZONE,2020-08-06,,,,413.6,411.648571568001
43637,408.0,404.0,408.0,392.0,57600,ZONE,2020-08-07,,,,412.4,409.9488889973341
98868,404.0,404.0,404.0,404.0,54000,ZONE,2020-08-10,,,,411.2,408.6269136645932
52717,404.0,404.0,404.0,404.0,63100,ZONE,2020-08-11,,,,410.0,407.59871062801693
120249,404.0,402.0,404.0,402.0,28400,ZONE,2020-08-12,,,414.2,408.6,406.35455271067985
62598,402.0,406.0,412.0,390.0,1213800,ZONE,2020-08-13,,,413.8666666666667,407.6,406.2757632194177
87335,406.0,408.0,410.0,406.0,283200,ZONE,2020-08-14,,,413.53333333333336,406.8,406.658926948436
60954,408.0,410.0,410.0,408.0,212600,ZONE,2020-08-18,,,413.26666666666665,406.2,407.4013876265613
88976,410.0,404.0,410.0,400.0,184000,ZONE,2020-08-19,,,412.73333333333335,405.4,406.64552370954766
10702,404.0,402.0,404.0,400.0,107200,ZONE,2020-08-24,,,412.06666666666666,405.2,405.613185107426
129295,402.0,402.0,402.0,402.0,154800,ZONE,2020-08-25,,,411.46666666666664,404.6,404.81025508355356
103782,402.0,400.0,402.0,400.0,152600,ZONE,2020-08-26,,,411.0,404.2,403.74130950943055
4123,400.0,400.0,400.0,400.0,161000,ZONE,2020-08-27,,,410.46666666666664,403.8,402.9099073962238
79079,400.0,400.0,400.0,400.0,188000,ZONE,2020-08-28,,,409.8666666666667,403.4,402.26326130817404
28003,400.0,400.0,400.0,398.0,168500,ZONE,2020-08-31,,,409.3333333333333,403.2,401.76031435080205
35398,400.0,400.0,400.0,400.0,116500,ZONE,2020-09-01,,,408.73333333333335,402.6,401.36913338395715
39536,400.0,402.0,402.0,398.0,126000,ZONE,2020-09-02,,,408.26666666666665,402.0,401.5093259653
68371,402.0,402.0,402.0,402.0,102500,ZONE,2020-09-03,,,407.8,401.2,401.61836463967774
13179,402.0,402.0,402.0,400.0,115700,ZONE,2020-09-04,,,407.3333333333333,401.0,401.70317249752713
27186,402.0,398.0,402.0,394.0,142200,ZONE,2020-09-07,,,406.73333333333335,400.6,400.88024527585446
107899,398.0,398.0,398.0,392.0,126400,ZONE,2020-09-08,,,406.1333333333333,400.2,400.24019077010905
121880,398.0,390.0,398.0,390.0,139800,ZONE,2020-09-09,,,405.26666666666665,399.2,397.96459282119594
8238,402.0,374.0,402.0,374.0,93800,ZONE,2020-09-10,,,403.8666666666667,396.6,392.63912774981907
18115,376.0,374.0,376.0,374.0,96700,ZONE,2020-09-11,,,402.46666666666664,394.0,388.49709936097037
44463,374.0,374.0,374.0,372.0,149700,ZONE,2020-09-14,,,401.06666666666666,391.4,385.27552172519916
65904,376.0,376.0,376.0,372.0,215900,ZONE,2020-09-15,,,399.73333333333335,389.0,383.2142946751549
1652,382.0,372.0,382.0,372.0,270500,ZONE,2020-09-16,,,398.26666666666665,386.0,380.72222919178716
56002,374.0,374.0,374.0,370.0,176600,ZONE,2020-09-17,,,396.8666666666667,383.2,379.2284004825011
61782,374.0,376.0,376.0,370.0,188100,ZONE,2020-09-18,,,395.6666666666667,380.6,378.51097815305644
71674,376.0,376.0,378.0,372.0,211600,ZONE,2020-09-21,,,394.73333333333335,378.4,377.9529830079328
99696,376.0,380.0,380.0,374.0,211300,ZONE,2020-09-22,,,393.8,376.6,378.4078756728366
76626,380.0,378.0,384.0,368.0,250700,ZONE,2020-09-23,,,392.93333333333334,375.4,378.31723663442847
65076,378.0,376.0,378.0,372.0,196200,ZONE,2020-09-24,,,392.0,375.6,377.80229516011104
96396,376.0,374.0,380.0,370.0,139600,ZONE,2020-09-25,,,391.0,375.6,376.95734068008636
59312,374.0,374.0,376.0,374.0,202000,ZONE,2020-09-28,,,390.06666666666666,375.6,376.3001538622894
16466,374.0,376.0,376.0,374.0,198800,ZONE,2020-09-29,,,389.06666666666666,375.6,376.23345300400285
84037,376.0,374.0,376.0,374.0,189500,ZONE,2020-09-30,,,387.93333333333334,375.8,375.73713011422444
91437,374.0,374.0,374.0,370.0,93900,ZONE,2020-10-01,,,386.73333333333335,375.8,375.3511011999523
67554,374.0,374.0,374.0,374.0,202000,ZONE,2020-10-02,,,385.73333333333335,375.6,375.0508564888518
12362,372.0,376.0,376.0,368.0,214000,ZONE,2020-10-05,,,384.8666666666667,375.6,375.261777269107
119433,376.0,380.0,380.0,376.0,186200,ZONE,2020-10-06,,,384.1333333333333,375.6,376.3147156537499
21420,380.0,378.0,382.0,372.0,171700,ZONE,2020-10-07,,,383.4,375.6,376.6892232862499
19764,378.0,380.0,382.0,376.0,194100,ZONE,2020-10-08,,,382.73333333333335,376.0,377.42495144486105
109559,380.0,382.0,382.0,380.0,187700,ZONE,2020-10-09,,,382.1333333333333,376.8,378.4416289015586
28828,382.0,382.0,384.0,376.0,180600,ZONE,2020-10-12,,,381.53333333333336,377.6,379.2323780345456
75799,382.0,382.0,382.0,382.0,149500,ZONE,2020-10-13,,,380.93333333333334,378.2,379.84740513797993
106248,382.0,384.0,384.0,382.0,167400,ZONE,2020-10-14,,,380.3333333333333,379.2,380.7702039962066
14829,384.0,382.0,384.0,382.0,150700,ZONE,2020-10-15,,,379.6666666666667,380.0,381.04349199704956
5777,382.0,388.0,388.0,382.0,194800,ZONE,2020-10-16,,,379.2,381.4,382.5893826643719
824,388.0,382.0,388.0,382.0,127400,ZONE,2020-10-19,,,378.6666666666667,382.0,382.45840873895594
124364,382.0,384.0,384.0,382.0,152200,ZONE,2020-10-20,,,378.2,382.4,382.8009845747435
74149,384.0,384.0,384.0,382.0,149200,ZONE,2020-10-21,,,378.0,383.0,383.0674324470227
30483,384.0,386.0,386.0,384.0,189800,ZONE,2020-10-22,,,378.4,383.6,383.7191141254621
32943,386.0,388.0,388.0,386.0,173800,ZONE,2020-10-23,,,378.8666666666667,384.2,384.67042209758165
56827,388.0,392.0,392.0,388.0,176200,ZONE,2020-10-26,,,379.46666666666664,385.2,386.29921718700797
51901,392.0,394.0,394.0,392.0,143600,ZONE,2020-10-27,,,380.06666666666666,386.4,388.0105022565618
88160,394.0,394.0,398.0,394.0,190500,ZONE,2020-11-02,,,380.8,387.4,389.3415017551036
83211,394.0,392.0,396.0,386.0,92600,ZONE,2020-11-03,,,381.4,388.4,389.93227914285836
6601,392.0,392.0,392.0,392.0,143500,ZONE,2020-11-04,,,381.93333333333334,388.8,390.39177266666763
18939,392.0,396.0,396.0,392.0,191500,ZONE,2020-11-05,,,382.6,390.2,391.6380454074082
42823,396.0,400.0,400.0,396.0,141600,ZONE,2020-11-06,,,383.26666666666665,391.8,393.49625753909527
90611,400.0,398.0,400.0,398.0,106000,ZONE,2020-11-09,,,383.93333333333334,393.2,394.4970891970741
2476,396.0,402.0,402.0,396.0,201600,ZONE,2020-11-10,,,384.8,394.8,396.16440270883544
24700,402.0,404.0,404.0,402.0,140400,ZONE,2020-11-11,,,385.8,396.4,397.90564655131647
77450,404.0,404.0,404.0,404.0,127100,ZONE,2020-11-12,,,386.8,397.6,399.2599473176906
74974,404.0,404.0,404.0,404.0,159500,ZONE,2020-11-13,,,387.73333333333335,398.6,400.3132923582038
73324,404.0,404.0,408.0,404.0,211700,ZONE,2020-11-16,,,388.73333333333335,399.6,401.1325607230474
40361,404.0,404.0,404.0,402.0,148100,ZONE,2020-11-17,,,389.73333333333335,400.8,401.7697694512591
17291,404.0,402.0,404.0,402.0,103300,ZONE,2020-11-18,,,390.6666666666667,401.8,401.82093179542375
66729,402.0,402.0,404.0,402.0,132600,ZONE,2020-11-19,,,391.53333333333336,402.4,401.860724729774
79904,402.0,400.0,402.0,400.0,109900,ZONE,2020-11-20,,,392.2,402.4,401.4472303453798
70846,400.0,402.0,402.0,400.0,171100,ZONE,2020-11-23,,,393.0,402.8,401.5700680464065
112022,402.0,396.0,402.0,394.0,99600,ZONE,2020-11-24,,,393.53333333333336,402.2,400.33227514720505
118608,396.0,394.0,398.0,394.0,89200,ZONE,2020-11-25,,,393.93333333333334,401.2,398.9251028922706
58486,394.0,398.0,398.0,394.0,115500,ZONE,2020-11-26,397.38,,394.46666666666664,400.6,398.719524471766
14004,398.0,400.0,400.0,398.0,145300,ZONE,2020-11-27,397.22,,395.06666666666666,400.2,399.00407458915134
116970,400.0,398.0,400.0,394.0,219800,ZONE,2020-11-30,397.02,,395.53333333333336,399.6,398.7809469026733
113673,398.0,396.0,398.0,394.0,102100,ZONE,2020-12-01,396.8,,396.0,398.8,398.1629587020792
116145,398.0,400.0,400.0,396.0,160900,ZONE,2020-12-02,396.6,,396.4,398.6,398.57119010161716
38719,400.0,402.0,402.0,398.0,82000,ZONE,2020-12-03,396.4,,397.06666666666666,398.6,399.33314785681335
